date,USPS,incidD,gold_out
2020-03-21,AZ,1,0
2020-03-28,AZ,14,0
2020-04-04,AZ,37,0
2020-04-11,AZ,65,0
2020-04-18,AZ,69,0
2020-04-25,AZ,93,0
2020-05-02,AZ,57,0
2020-05-09,AZ,202,0
2020-05-16,AZ,147,0
2020-05-23,AZ,122,0
2020-05-30,AZ,103,0
2020-06-06,AZ,139,0
2020-06-13,AZ,146,0
2020-06-20,AZ,157,0
2020-06-27,AZ,234,0
2020-07-04,AZ,237,0
2020-07-11,AZ,334,0
2020-07-18,AZ,579,0
2020-07-25,AZ,556,0
2020-08-01,AZ,463,0
2020-08-08,AZ,390,0
2020-08-15,AZ,355,0
2020-08-22,AZ,264,0
2020-08-29,AZ,251,0
2020-09-05,AZ,202,0
2020-09-12,AZ,112,0
2020-09-19,AZ,152,0
2020-09-26,AZ,155,0
2020-10-03,AZ,83,0
2020-10-10,AZ,54,0
2020-10-17,AZ,65,0
2020-10-24,AZ,45,0
2020-10-31,AZ,110,0
2020-11-07,AZ,168,0
2020-11-14,AZ,153,0
2020-11-21,AZ,157,0
2020-11-28,AZ,167,0
2020-12-05,AZ,301,0
2020-12-12,AZ,397,0
2020-12-19,AZ,615,0
2020-12-26,AZ,487,0
2021-01-02,AZ,637,0
2021-01-09,AZ,975,0
2021-01-16,AZ,1212,0
2021-01-23,AZ,924,0
2021-01-30,AZ,928,0
2021-02-06,AZ,913,0
2021-02-13,AZ,937,0
2021-02-20,AZ,532,0
2021-02-27,AZ,493,0
2021-03-06,AZ,358,0
2021-03-13,AZ,227,0
2021-03-20,AZ,187,0
2021-03-27,AZ,179,0
2021-04-03,AZ,79,0
2021-04-10,AZ,103,0
2021-04-17,AZ,75,0
2021-04-24,AZ,109,0
2021-05-01,AZ,78,0
2021-05-08,AZ,69,0
2021-05-15,AZ,52,0
2021-05-22,AZ,88,0
2021-05-29,AZ,81,0
2021-06-05,AZ,70,0
2021-06-12,AZ,67,0
2021-06-19,AZ,77,0
2021-06-26,AZ,76,0
2021-07-03,AZ,63,0
2021-07-10,AZ,56,0
2021-07-17,AZ,71,0
2021-07-24,AZ,70,0
2021-07-31,AZ,76,0
2021-08-07,AZ,130,0
2021-08-14,AZ,86,0
2021-08-21,AZ,135,0
2021-08-28,AZ,182,0
2021-09-04,AZ,220,0
2021-09-11,AZ,186,0
2021-09-18,AZ,304,0
2021-09-25,AZ,319,0
2021-10-02,AZ,328,0
2021-10-09,AZ,216,0
2021-10-16,AZ,162,0
2021-10-23,AZ,351,0
2021-10-30,AZ,326,0
2021-11-06,AZ,255,0
2021-11-13,AZ,243,0
2021-11-20,AZ,288,0
2021-11-27,AZ,285,0
2021-12-04,AZ,337,0
2021-12-11,AZ,460,0
2021-12-18,AZ,495,0
2021-12-25,AZ,467,0
2022-01-01,AZ,373,0
2022-01-08,AZ,350,0
2022-01-15,AZ,364,0
2022-01-22,AZ,489,0
2022-01-29,AZ,626,0
2022-02-05,AZ,447,0
2022-02-12,AZ,536,0
2022-02-19,AZ,349,0
2022-02-26,AZ,433,0
2022-03-05,AZ,238,0
2022-03-12,AZ,382,0
2022-03-19,AZ,457,0
2022-03-26,AZ,336,0
2022-04-02,AZ,385,0
2022-04-09,AZ,413,0
2022-04-16,AZ,142,0
2022-04-23,AZ,29,0
2022-04-30,AZ,99,0
2022-05-07,AZ,238,0
2022-05-14,AZ,41,0
2022-05-21,AZ,29,0
2022-05-28,AZ,40,0
2022-06-04,AZ,33,0
2022-06-11,AZ,40,0
2022-06-18,AZ,28,0
2022-06-25,AZ,52,0
2022-07-02,AZ,63,0
2022-07-09,AZ,57,0
2022-07-16,AZ,60,0
2022-07-23,AZ,66,0
2022-07-30,AZ,70,0
2022-08-06,AZ,74,0
2022-08-13,AZ,59,0
2022-08-20,AZ,81,0
2022-08-27,AZ,65,0
2022-09-03,AZ,67,0
2022-09-10,AZ,48,0
2022-09-17,AZ,82,0
2022-09-24,AZ,82,0
2022-10-01,AZ,44,0
2022-10-08,AZ,36,0
2022-10-15,AZ,49,0
2022-10-22,AZ,59,0
2022-10-29,AZ,34,0
2022-11-05,AZ,25,0
2022-11-12,AZ,40,0
2022-11-19,AZ,34,0
2022-11-26,AZ,62,0
2022-12-03,AZ,42,0
2022-12-10,AZ,71,0
2022-12-17,AZ,107,0
2022-12-24,AZ,109,0
2022-12-31,AZ,144,0
2023-01-07,AZ,129,0
2023-01-14,AZ,192,0
2023-01-21,AZ,128,0
2023-01-28,AZ,144,0
2023-02-04,AZ,107,0
2023-02-11,AZ,54,0
2023-02-18,AZ,67,0
2023-02-25,AZ,39,0
2023-03-04,AZ,34,0
2023-03-11,AZ,26,0
2021-10-16,AR,364,1
2020-12-12,AR,291,0
2021-01-02,AR,288,0
2021-01-16,AR,283,0
2021-01-09,AR,281,0
2020-12-19,AR,280,0
2021-01-30,AR,275,0
2021-01-23,AR,270,0
2022-02-19,AR,266,0
2020-12-26,AR,250,0
2022-03-05,AR,234,0
2022-02-12,AR,232,0
2021-03-06,AR,228,0
2021-02-06,AR,223,0
2020-09-19,AR,212,1
2021-08-28,AR,209,0
2021-09-18,AR,202,0
2021-08-21,AR,200,0
2021-09-11,AR,194,0
2022-03-12,AR,193,0
2021-02-13,AR,191,0
2022-03-19,AR,186,0
2021-09-04,AR,184,0
2020-11-21,AR,178,0
2022-02-05,AR,177,0
2022-02-26,AR,174,0
2020-12-05,AR,171,0
2021-03-13,AR,158,0
2021-08-14,AR,155,0
2021-08-07,AR,149,0
2021-10-02,AR,149,0
2020-10-10,AR,145,0
2020-11-07,AR,143,0
2021-09-25,AR,141,0
2022-01-08,AR,134,0
2020-10-17,AR,132,0
2022-03-26,AR,131,0
2020-10-31,AR,128,0
2020-10-03,AR,122,0
2022-01-01,AR,122,0
2022-10-08,AR,120,0
2021-12-11,AR,119,0
2022-01-29,AR,118,0
2021-12-25,AR,116,0
2022-01-15,AR,116,0
2020-10-24,AR,113,0
2021-11-06,AR,113,0
2020-11-28,AR,112,0
2020-09-05,AR,110,0
2021-10-09,AR,107,0
2020-09-26,AR,104,0
2021-10-30,AR,103,0
2021-12-18,AR,102,0
2022-10-01,AR,101,0
2020-08-29,AR,98,0
2021-02-20,AR,96,0
2021-07-31,AR,93,0
2020-11-14,AR,91,0
2020-09-12,AR,87,0
2022-09-24,AR,87,0
2021-11-13,AR,79,0
2021-03-20,AR,78,0
2020-08-08,AR,77,0
2020-08-22,AR,76,0
2021-10-23,AR,72,0
2022-10-15,AR,70,0
2021-02-27,AR,69,0
2021-12-04,AR,68,0
2022-01-22,AR,68,0
2020-08-15,AR,65,0
2022-10-29,AR,63,0
2020-08-01,AR,59,0
2022-08-13,AR,59,0
2021-03-27,AR,57,0
2021-07-24,AR,56,0
2022-04-09,AR,54,0
2022-10-22,AR,54,0
2023-01-28,AR,54,0
2021-04-03,AR,51,0
2021-11-20,AR,50,0
2023-02-04,AR,49,0
2020-06-20,AR,47,0
2022-07-30,AR,46,0
2022-12-10,AR,46,0
2021-07-17,AR,44,0
2022-08-06,AR,44,0
2022-08-27,AR,44,0
2020-07-25,AR,42,0
2022-04-02,AR,42,0
2021-11-27,AR,41,0
2022-05-28,AR,40,0
2022-07-23,AR,40,0
2022-08-20,AR,39,0
2020-07-18,AR,38,0
2023-01-14,AR,38,0
2020-06-27,AR,35,0
2021-07-10,AR,35,0
2022-06-25,AR,35,0
2022-12-03,AR,35,0
2022-04-16,AR,34,0
2020-07-11,AR,33,0
2021-05-15,AR,33,0
2023-02-18,AR,33,0
2021-04-17,AR,32,0
2022-09-17,AR,32,0
2022-12-17,AR,32,0
2022-11-05,AR,31,0
2022-04-23,AR,30,0
2023-01-21,AR,29,0
2022-09-03,AR,28,0
2022-09-10,AR,28,0
2023-02-11,AR,28,0
2020-07-04,AR,27,0
2022-06-04,AR,26,0
2023-01-07,AR,26,0
2023-03-04,AR,26,0
2022-07-16,AR,25,0
2020-05-02,AR,24,0
2021-04-24,AR,24,0
2021-05-01,AR,24,0
2020-06-13,AR,23,0
2021-05-22,AR,23,0
2022-05-21,AR,23,0
2023-02-25,AR,23,0
2021-04-10,AR,22,0
2020-06-06,AR,21,0
2022-07-02,AR,21,0
2021-07-03,AR,20,0
2022-04-30,AR,20,0
2021-05-08,AR,19,0
2021-06-26,AR,19,0
2022-06-11,AR,19,0
2022-07-09,AR,19,0
2022-12-24,AR,19,0
2023-03-11,AR,19,0
2020-05-30,AR,18,0
2021-06-19,AR,18,0
2022-05-07,AR,18,0
2020-05-23,AR,17,0
2020-05-09,AR,16,0
2021-06-05,AR,16,0
2022-06-18,AR,16,0
2022-11-26,AR,15,0
2021-05-29,AR,14,0
2021-06-12,AR,14,0
2020-04-18,AR,13,0
2022-12-31,AR,13,0
2020-04-11,AR,11,0
2020-04-25,AR,10,0
2020-05-16,AR,10,0
2022-11-19,AR,10,0
2020-04-04,AR,9,0
2022-05-14,AR,8,0
2022-11-12,AR,6,0
2020-03-28,AR,5,0
2020-01-25,AR,0,0
2020-02-01,AR,0,0
2020-02-08,AR,0,0
2020-02-15,AR,0,0
2020-02-22,AR,0,0
2020-02-29,AR,0,0
2020-03-07,AR,0,0
2020-03-14,AR,0,0
2020-03-21,AR,0,0
2020-01-25,CA,0,0
2020-02-01,CA,0,0
2020-02-08,CA,0,0
2020-02-15,CA,0,0
2020-02-22,CA,0,0
2020-02-29,CA,0,0
2020-03-07,CA,1,0
2020-03-14,CA,6,0
2020-03-21,CA,21,0
2020-03-28,CA,162,0
2020-04-04,CA,215,0
2020-04-11,CA,306,0
2020-04-18,CA,528,0
2020-04-25,CA,535,0
2020-05-02,CA,497,0
2020-05-09,CA,515,0
2020-05-16,CA,519,0
2020-05-23,CA,491,0
2020-05-30,CA,394,0
2020-06-06,CA,467,0
2020-06-13,CA,447,0
2020-06-20,CA,432,0
2020-06-27,CA,396,0
2020-07-04,CA,453,0
2020-07-11,CA,729,0
2020-07-18,CA,650,0
2020-07-25,CA,740,0
2020-08-01,CA,888,0
2020-08-08,CA,928,0
2020-08-15,CA,916,0
2020-08-22,CA,867,0
2020-08-29,CA,808,0
2020-09-05,CA,812,0
2020-09-12,CA,640,0
2020-09-19,CA,655,0
2020-09-26,CA,557,0
2020-10-03,CA,585,0
2020-10-10,CA,452,0
2020-10-17,CA,413,0
2020-10-24,CA,378,0
2020-10-31,CA,355,0
2020-11-07,CA,345,0
2020-11-14,CA,294,0
2020-11-21,CA,467,0
2020-11-28,CA,443,0
2020-12-05,CA,759,0
2020-12-12,CA,1062,0
2020-12-19,CA,1628,0
2020-12-26,CA,1572,0
2021-01-02,CA,2373,0
2021-01-09,CA,3059,0
2021-01-16,CA,3353,0
2021-01-23,CA,3415,0
2021-01-30,CA,3673,0
2021-02-06,CA,3509,0
2021-02-13,CA,2998,0
2021-02-20,CA,2384,0
2021-02-27,CA,2957,1
2021-03-06,CA,2060,0
2021-03-13,CA,1409,0
2021-03-20,CA,920,0
2021-03-27,CA,1671,0
2021-04-03,CA,810,0
2021-04-10,CA,688,0
2021-04-17,CA,549,0
2021-04-24,CA,441,0
2021-05-01,CA,517,0
2021-05-08,CA,375,0
2021-05-15,CA,220,0
2021-05-22,CA,241,0
2021-05-29,CA,293,0
2021-06-05,CA,442,0
2021-06-12,CA,178,0
2021-06-19,CA,142,0
2021-06-26,CA,297,1
2021-07-03,CA,165,0
2021-07-10,CA,233,0
2021-07-17,CA,220,0
2021-07-24,CA,151,0
2021-07-31,CA,192,0
2021-08-07,CA,369,0
2021-08-14,CA,599,0
2021-08-21,CA,494,0
2021-08-28,CA,604,0
2021-09-04,CA,733,0
2021-09-11,CA,786,0
2021-09-18,CA,904,0
2021-09-25,CA,592,0
2021-10-02,CA,683,0
2021-10-09,CA,746,0
2021-10-16,CA,594,0
2021-10-23,CA,934,0
2021-10-30,CA,617,0
2021-11-06,CA,559,0
2021-11-13,CA,594,0
2021-11-20,CA,596,0
2021-11-27,CA,446,0
2021-12-04,CA,633,0
2021-12-11,CA,454,0
2021-12-18,CA,453,0
2021-12-25,CA,421,0
2022-01-01,CA,385,0
2022-01-08,CA,511,0
2022-01-15,CA,679,0
2022-01-22,CA,836,0
2022-01-29,CA,1227,0
2022-02-05,CA,1257,0
2022-02-12,CA,1501,0
2022-02-19,CA,1445,0
2022-02-26,CA,1088,0
2022-03-05,CA,1202,0
2022-03-12,CA,980,0
2022-03-19,CA,762,0
2022-03-26,CA,581,0
2022-04-02,CA,342,0
2022-04-09,CA,338,0
2022-04-16,CA,304,0
2022-04-23,CA,337,0
2022-04-30,CA,314,0
2022-05-07,CA,269,0
2022-05-14,CA,281,0
2022-05-21,CA,260,0
2022-05-28,CA,256,0
2022-06-04,CA,204,0
2022-06-11,CA,197,0
2022-06-18,CA,227,0
2022-06-25,CA,191,0
2022-07-02,CA,277,0
2022-07-09,CA,242,0
2022-07-16,CA,275,0
2022-07-23,CA,305,0
2022-07-30,CA,284,0
2022-08-06,CA,320,0
2022-08-13,CA,302,0
2022-08-20,CA,322,0
2022-08-27,CA,367,0
2022-09-03,CA,162,0
2022-09-10,CA,344,0
2022-09-17,CA,231,0
2022-09-24,CA,246,0
2022-10-01,CA,282,0
2022-10-08,CA,255,0
2022-10-15,CA,220,0
2022-10-22,CA,255,0
2022-10-29,CA,202,0
2022-11-05,CA,117,0
2022-11-12,CA,103,0
2022-11-19,CA,184,0
2022-11-26,CA,148,0
2022-12-03,CA,180,0
2022-12-10,CA,217,0
2022-12-17,CA,216,0
2022-12-24,CA,336,0
2022-12-31,CA,252,0
2023-01-07,CA,285,0
2023-01-14,CA,397,0
2023-01-21,CA,369,0
2023-01-28,CA,342,0
2023-02-04,CA,291,0
2023-02-11,CA,612,0
2023-02-18,CA,281,0
2023-02-25,CA,235,0
2023-03-04,CA,228,0
2023-03-11,CA,205,0
2020-01-25,CO,0,0
2020-02-01,CO,0,0
2020-02-08,CO,0,0
2020-02-15,CO,0,0
2020-02-22,CO,0,0
2020-02-29,CO,0,0
2020-03-07,CO,0,0
2020-03-14,CO,2,0
2020-03-21,CO,4,0
2020-03-28,CO,40,0
2020-04-04,CO,495,0
2020-04-11,CO,247,0
2020-04-18,CO,194,0
2020-04-25,CO,204,1
2020-05-02,CO,106,0
2020-05-09,CO,98,0
2020-05-16,CO,111,0
2020-05-23,CO,70,0
2020-05-30,CO,51,0
2020-06-06,CO,41,0
2020-06-13,CO,22,0
2020-06-20,CO,22,0
2020-06-27,CO,21,0
2020-07-04,CO,32,0
2020-07-11,CO,28,0
2020-07-18,CO,43,0
2020-07-25,CO,33,0
2020-08-01,CO,19,0
2020-08-08,CO,17,0
2020-08-15,CO,17,0
2020-08-22,CO,24,0
2020-08-29,CO,36,0
2020-09-05,CO,24,0
2020-09-12,CO,28,0
2020-09-19,CO,27,0
2020-09-26,CO,35,0
2020-10-03,CO,34,0
2020-10-10,CO,43,0
2020-10-17,CO,65,0
2020-10-24,CO,175,0
2020-10-31,CO,212,0
2020-11-07,CO,269,0
2020-11-14,CO,355,0
2020-11-21,CO,419,0
2020-11-28,CO,482,0
2020-12-05,CO,455,0
2020-12-12,CO,324,0
2020-12-19,CO,228,0
2020-12-26,CO,155,0
2021-01-02,CO,158,0
2021-01-09,CO,149,0
2021-01-16,CO,140,0
2021-01-23,CO,83,0
2021-01-30,CO,70,0
2021-02-06,CO,59,0
2021-02-13,CO,39,0
2021-02-20,CO,45,0
2021-02-27,CO,36,0
2021-03-06,CO,28,0
2021-03-13,CO,36,0
2021-03-20,CO,24,0
2021-03-27,CO,22,0
2021-04-03,CO,51,0
2021-04-10,CO,47,0
2021-04-17,CO,61,0
2021-04-24,CO,83,0
2021-05-01,CO,67,0
2021-05-08,CO,61,0
2021-05-15,CO,65,0
2021-05-22,CO,46,0
2021-05-29,CO,53,0
2021-06-05,CO,45,0
2021-06-12,CO,29,0
2021-06-19,CO,41,0
2021-06-26,CO,30,0
2021-07-03,CO,33,0
2021-07-10,CO,30,0
2021-07-17,CO,39,0
2021-07-24,CO,43,0
2021-07-31,CO,53,0
2021-08-07,CO,60,0
2021-08-14,CO,78,0
2021-08-21,CO,84,0
2021-08-28,CO,88,0
2021-09-04,CO,127,0
2021-09-11,CO,102,0
2021-09-18,CO,135,0
2021-09-25,CO,134,0
2021-10-02,CO,159,0
2021-10-09,CO,170,0
2021-10-16,CO,184,0
2021-10-23,CO,235,0
2021-10-30,CO,239,0
2021-11-06,CO,272,0
2021-11-13,CO,269,0
2021-11-20,CO,253,0
2021-11-27,CO,244,0
2021-12-04,CO,219,0
2021-12-11,CO,191,0
2021-12-18,CO,162,0
2021-12-25,CO,130,0
2022-01-01,CO,221,0
2022-01-08,CO,344,0
2022-01-15,CO,349,0
2022-01-22,CO,265,0
2022-01-29,CO,229,0
2022-02-05,CO,159,0
2022-02-12,CO,100,0
2022-02-19,CO,62,0
2022-02-26,CO,45,0
2022-03-05,CO,35,0
2022-03-12,CO,25,0
2022-03-19,CO,16,0
2022-03-26,CO,17,0
2022-04-02,CO,12,0
2022-04-09,CO,11,0
2022-04-16,CO,17,0
2022-04-23,CO,18,0
2022-04-30,CO,13,0
2022-05-07,CO,28,0
2022-05-14,CO,33,0
2022-05-21,CO,32,0
2022-05-28,CO,39,0
2022-06-04,CO,60,0
2022-06-11,CO,48,0
2022-06-18,CO,64,0
2022-06-25,CO,45,0
2022-07-02,CO,42,0
2022-07-09,CO,46,0
2022-07-16,CO,55,0
2022-07-23,CO,34,0
2022-07-30,CO,20,0
2022-08-06,CO,22,0
2022-08-13,CO,16,0
2022-08-20,CO,6,0
2022-08-27,CO,29,0
2022-09-03,CO,26,0
2022-09-10,CO,30,0
2022-09-17,CO,33,0
2022-09-24,CO,32,0
2022-10-01,CO,44,0
2022-10-08,CO,19,0
2022-10-15,CO,32,0
2022-10-22,CO,22,0
2022-10-29,CO,28,0
2022-11-05,CO,34,0
2022-11-12,CO,33,0
2022-11-19,CO,44,0
2022-11-26,CO,60,0
2022-12-03,CO,46,0
2022-12-10,CO,72,0
2022-12-17,CO,69,0
2022-12-24,CO,68,0
2022-12-31,CO,41,0
2023-01-07,CO,17,0
2023-01-14,CO,41,0
2023-01-21,CO,81,0
2023-01-28,CO,39,0
2023-02-04,CO,22,0
2023-02-11,CO,37,0
2023-02-18,CO,22,0
2023-02-25,CO,1,0
2023-03-04,CO,21,0
2023-03-11,CO,54,0
