state,USPS,datew,incidI,date
Alabama,AL,2021-06-19,1332,2021-06-19
Alabama,AL,2021-06-26,1278,2021-06-26
Alabama,AL,2021-07-03,1373,2021-07-03
Alabama,AL,2021-07-10,3308,2021-07-10
Alabama,AL,2021-07-17,4873,2021-07-17
Alabama,AL,2021-07-24,9653,2021-07-24
Alabama,AL,2021-07-31,16476,2021-07-31
Alabama,AL,2021-08-07,21602,2021-08-07
Alabama,AL,2021-08-14,20696,2021-08-14
Alabama,AL,2021-08-21,31845,2021-08-21
Alabama,AL,2021-08-28,28268,2021-08-28
Alabama,AL,2021-09-04,31262,2021-09-04
Alabama,AL,2021-09-11,26532,2021-09-11
Alabama,AL,2021-09-18,22489,2021-09-18
Alabama,AL,2021-09-25,19120,2021-09-25
Alabama,AL,2021-10-02,12379,2021-10-02
Alabama,AL,2021-10-09,7683,2021-10-09
Alabama,AL,2021-10-16,5999,2021-10-16
Alabama,AL,2021-10-23,6115,2021-10-23
Alabama,AL,2021-10-30,12043,2021-10-30
Alabama,AL,2021-11-06,4102,2021-11-06
Alabama,AL,2021-11-13,3668,2021-11-13
Alabama,AL,2021-11-20,3232,2021-11-20
Alabama,AL,2021-11-27,2307,2021-11-27
Alabama,AL,2021-12-04,3210,2021-12-04
Alabama,AL,2021-12-11,3794,2021-12-11
Alabama,AL,2021-12-18,5339,2021-12-18
Alabama,AL,2021-12-25,10793,2021-12-25
Alabama,AL,2022-01-01,28529,2022-01-01
Alabama,AL,2022-01-08,69566,2022-01-08
Alabama,AL,2022-01-15,38442,2022-01-15
Alabama,AL,2022-01-22,132765,2022-01-22
Alabama,AL,2022-01-29,68921,2022-01-29
Alabama,AL,2022-02-05,36112,2022-02-05
Alabama,AL,2022-02-12,19598,2022-02-12
Alabama,AL,2022-02-19,10591,2022-02-19
Alabama,AL,2022-02-26,6398,2022-02-26
Alabama,AL,2022-03-05,3937,2022-03-05
Alabama,AL,2022-03-12,6050,2022-03-12
Alabama,AL,2022-03-19,2166,2022-03-19
Alabama,AL,2022-03-26,1319,2022-03-26
Alabama,AL,2022-04-02,2944,2022-04-02
Alabama,AL,2022-04-09,1249,2022-04-09
Alabama,AL,2022-04-16,1168,2022-04-16
Alabama,AL,2022-04-23,1295,2022-04-23
Alabama,AL,2022-04-30,1596,2022-04-30
Alabama,AL,2022-05-07,1661,2022-05-07
Alabama,AL,2022-05-14,2316,2022-05-14
Alabama,AL,2022-05-21,3175,2022-05-21
Alabama,AL,2022-05-28,4554,2022-05-28
Alabama,AL,2022-06-04,4592,2022-06-04
Alabama,AL,2022-06-11,8332,2022-06-11
Alabama,AL,2022-06-18,9620,2022-06-18
Alabama,AL,2022-06-25,11287,2022-06-25
Alabama,AL,2022-07-02,12783,2022-07-02
Alabama,AL,2022-07-09,14633,2022-07-09
Alabama,AL,2022-07-16,16649,2022-07-16
Alabama,AL,2022-07-23,17366,2022-07-23
Alabama,AL,2022-07-30,16712,2022-07-30
Alabama,AL,2022-08-06,12047,2022-08-06
Alabama,AL,2022-08-13,13354,2022-08-13
Alabama,AL,2022-08-20,14121,2022-08-20
Alabama,AL,2022-08-27,15672,2022-08-27
Alabama,AL,2022-09-03,14695,2022-09-03
Alabama,AL,2022-09-10,9880,2022-09-10
Alabama,AL,2022-09-17,7954,2022-09-17
Alabama,AL,2022-09-24,5770,2022-09-24
Alabama,AL,2022-10-01,4231,2022-10-01
Alabama,AL,2022-10-08,3589,2022-10-08
Alabama,AL,2022-10-15,3015,2022-10-15
Alabama,AL,2022-10-22,2566,2022-10-22
Alabama,AL,2022-10-29,2982,2022-10-29
Alabama,AL,2022-11-05,0,2022-11-05
Alabama,AL,2022-11-12,6042,2022-11-12
Alabama,AL,2022-11-19,1898,2022-11-19
Alabama,AL,2022-11-26,2872,2022-11-26
Alabama,AL,2022-12-03,4186,2022-12-03
Alabama,AL,2022-12-10,5807,2022-12-10
Alabama,AL,2022-12-17,6465,2022-12-17
Alabama,AL,2022-12-24,7377,2022-12-24
Alabama,AL,2022-12-31,0,2022-12-31
Alabama,AL,2023-01-07,18290,2023-01-07
Alabama,AL,2023-01-14,8925,2023-01-14
Alabama,AL,2023-01-21,6742,2023-01-21
Alabama,AL,2023-01-28,7644,2023-01-28
Alabama,AL,2023-02-04,7315,2023-02-04
Alabama,AL,2023-02-11,9820,2023-02-11
Alabama,AL,2023-02-18,6073,2023-02-18
Alabama,AL,2023-02-25,4605,2023-02-25
Alabama,AL,2023-03-04,3714,2023-03-04
Alabama,AL,2023-03-11,2471,2023-03-11
Alaska,AK,2020-01-25,0,2020-01-25
Alaska,AK,2020-02-01,0,2020-02-01
Alaska,AK,2020-02-08,0,2020-02-08
Alaska,AK,2020-02-15,0,2020-02-15
Alaska,AK,2020-02-22,0,2020-02-22
Alaska,AK,2020-02-29,0,2020-02-29
Alaska,AK,2020-03-07,0,2020-03-07
Alaska,AK,2020-03-14,1,2020-03-14
Alaska,AK,2020-03-21,15,2020-03-21
Alaska,AK,2020-03-28,76,2020-03-28
Alaska,AK,2020-04-04,80,2020-04-04
Alaska,AK,2020-04-11,89,2020-04-11
Alaska,AK,2020-04-18,58,2020-04-18
Alaska,AK,2020-04-25,25,2020-04-25
Alaska,AK,2020-05-02,26,2020-05-02
Alaska,AK,2020-05-09,15,2020-05-09
Alaska,AK,2020-05-16,18,2020-05-16
Alaska,AK,2020-05-23,20,2020-05-23
Alaska,AK,2020-05-30,32,2020-05-30
Alaska,AK,2020-06-06,131,2020-06-06
Alaska,AK,2020-06-13,145,2020-06-13
Alaska,AK,2020-06-20,125,2020-06-20
Alaska,AK,2020-06-27,183,2020-06-27
Alaska,AK,2020-07-04,311,2020-07-04
Alaska,AK,2020-07-11,333,2020-07-11
Alaska,AK,2020-07-18,496,2020-07-18
Alaska,AK,2020-07-25,730,2020-07-25
Alaska,AK,2020-08-01,949,2020-08-01
Alaska,AK,2020-08-08,542,2020-08-08
Alaska,AK,2020-08-15,582,2020-08-15
Alaska,AK,2020-08-22,547,2020-08-22
Alaska,AK,2020-08-29,531,2020-08-29
Alaska,AK,2020-09-05,496,2020-09-05
Alaska,AK,2020-09-12,545,2020-09-12
Alaska,AK,2020-09-19,552,2020-09-19
Alaska,AK,2020-09-26,704,2020-09-26
Alaska,AK,2020-10-03,880,2020-10-03
Alaska,AK,2020-10-10,1173,2020-10-10
Alaska,AK,2020-10-17,1369,2020-10-17
Alaska,AK,2020-10-24,1722,2020-10-24
Alaska,AK,2020-10-31,2805,2020-10-31
Alaska,AK,2020-11-07,2936,2020-11-07
Alaska,AK,2020-11-14,3829,2020-11-14
Alaska,AK,2020-11-21,4054,2020-11-21
Alaska,AK,2020-11-28,4193,2020-11-28
Alaska,AK,2020-12-05,4802,2020-12-05
Alaska,AK,2020-12-12,4199,2020-12-12
Alaska,AK,2020-12-19,3170,2020-12-19
Alaska,AK,2020-12-26,1803,2020-12-26
Alaska,AK,2021-01-02,2309,2021-01-02
Alaska,AK,2021-01-09,2143,2021-01-09
Alaska,AK,2021-01-16,1717,2021-01-16
Alaska,AK,2021-01-23,1486,2021-01-23
Alaska,AK,2021-01-30,1041,2021-01-30
Alaska,AK,2021-02-06,1039,2021-02-06
Alaska,AK,2021-02-13,1133,2021-02-13
Alaska,AK,2021-02-20,999,2021-02-20
Alaska,AK,2021-02-27,883,2021-02-27
Alaska,AK,2021-03-06,1040,2021-03-06
Alaska,AK,2021-03-13,932,2021-03-13
Alaska,AK,2021-03-20,895,2021-03-20
Alaska,AK,2021-03-27,1094,2021-03-27
Alaska,AK,2021-04-03,1227,2021-04-03
Alaska,AK,2021-04-10,1264,2021-04-10
Alaska,AK,2021-04-17,1127,2021-04-17
Alaska,AK,2021-04-24,1134,2021-04-24
Alaska,AK,2021-05-01,1111,2021-05-01
Alaska,AK,2021-05-08,731,2021-05-08
Alaska,AK,2021-05-15,575,2021-05-15
Alaska,AK,2021-05-22,435,2021-05-22
Alaska,AK,2021-05-29,305,2021-05-29
Alaska,AK,2021-06-05,265,2021-06-05
Alaska,AK,2021-06-12,181,2021-06-12
Alaska,AK,2021-06-19,229,2021-06-19
Alaska,AK,2021-06-26,160,2021-06-26
Alaska,AK,2021-07-03,343,2021-07-03
Alaska,AK,2021-07-10,345,2021-07-10
Alaska,AK,2021-07-17,698,2021-07-17
Alaska,AK,2021-07-24,1365,2021-07-24
Alaska,AK,2021-07-31,1662,2021-07-31
Alaska,AK,2021-08-07,2079,2021-08-07
Alaska,AK,2021-08-14,2227,2021-08-14
Alaska,AK,2021-08-21,3320,2021-08-21
Alaska,AK,2021-08-28,3573,2021-08-28
Alaska,AK,2021-09-04,3919,2021-09-04
Alaska,AK,2021-09-11,4515,2021-09-11
Alaska,AK,2021-09-18,5171,2021-09-18
Alaska,AK,2021-09-25,7268,2021-09-25
Alaska,AK,2021-10-02,7992,2021-10-02
Alaska,AK,2021-10-09,5626,2021-10-09
Alaska,AK,2021-10-16,6413,2021-10-16
Alaska,AK,2021-10-23,5499,2021-10-23
Alaska,AK,2021-10-30,4610,2021-10-30
Alaska,AK,2021-11-06,4229,2021-11-06
Alaska,AK,2021-11-13,3041,2021-11-13
Alaska,AK,2021-11-20,2912,2021-11-20
Alaska,AK,2021-11-27,2003,2021-11-27
Alaska,AK,2021-12-04,1895,2021-12-04
Alaska,AK,2021-12-11,1442,2021-12-11
Alaska,AK,2021-12-18,1213,2021-12-18
Alaska,AK,2021-12-25,655,2021-12-25
Alaska,AK,2022-01-01,1872,2022-01-01
Alaska,AK,2022-01-08,8166,2022-01-08
Alaska,AK,2022-01-15,13230,2022-01-15
Alaska,AK,2022-01-22,16655,2022-01-22
Alaska,AK,2022-01-29,16973,2022-01-29
Alaska,AK,2022-02-05,12463,2022-02-05
Alaska,AK,2022-02-12,7169,2022-02-12
Alaska,AK,2022-02-19,3847,2022-02-19
Alaska,AK,2022-02-26,2709,2022-02-26
Alaska,AK,2022-03-05,2057,2022-03-05
Alaska,AK,2022-03-12,2607,2022-03-12
Alaska,AK,2022-03-19,1479,2022-03-19
Alaska,AK,2022-03-26,951,2022-03-26
Alaska,AK,2022-04-02,1900,2022-04-02
Alaska,AK,2022-04-09,932,2022-04-09
Alaska,AK,2022-04-16,1289,2022-04-16
Alaska,AK,2022-04-23,1538,2022-04-23
Alaska,AK,2022-04-30,1492,2022-04-30
Alaska,AK,2022-05-07,1467,2022-05-07
Alaska,AK,2022-05-14,1579,2022-05-14
Alaska,AK,2022-05-21,1918,2022-05-21
Alaska,AK,2022-05-28,2027,2022-05-28
Alaska,AK,2022-06-04,2013,2022-06-04
Alaska,AK,2022-06-11,2332,2022-06-11
Alaska,AK,2022-06-18,2267,2022-06-18
Alaska,AK,2022-06-25,2514,2022-06-25
Alaska,AK,2022-07-02,3096,2022-07-02
Alaska,AK,2022-07-09,2887,2022-07-09
Alaska,AK,2022-07-16,2959,2022-07-16
Alaska,AK,2022-07-23,2825,2022-07-23
Alaska,AK,2022-07-30,2414,2022-07-30
Alaska,AK,2022-08-06,3127,2022-08-06
Alaska,AK,2022-08-13,2188,2022-08-13
Alaska,AK,2022-08-20,1725,2022-08-20
Alaska,AK,2022-08-27,2062,2022-08-27
Alaska,AK,2022-09-03,1310,2022-09-03
Alaska,AK,2022-09-10,1059,2022-09-10
Alaska,AK,2022-09-17,1136,2022-09-17
Alaska,AK,2022-09-24,729,2022-09-24
Alaska,AK,2022-10-01,610,2022-10-01
Alaska,AK,2022-10-08,674,2022-10-08
Alaska,AK,2022-10-15,562,2022-10-15
Alaska,AK,2022-10-22,355,2022-10-22
Alaska,AK,2022-10-29,385,2022-10-29
Alaska,AK,2022-11-05,334,2022-11-05
Alaska,AK,2022-11-12,2,2022-11-12
Alaska,AK,2022-11-19,390,2022-11-19
Alaska,AK,2022-11-26,434,2022-11-26
Alaska,AK,2022-12-03,398,2022-12-03
Alaska,AK,2022-12-10,496,2022-12-10
Alaska,AK,2022-12-17,354,2022-12-17
Alaska,AK,2022-12-24,380,2022-12-24
Alaska,AK,2022-12-31,332,2022-12-31
Alaska,AK,2023-01-07,371,2023-01-07
Alaska,AK,2023-01-14,470,2023-01-14
Alaska,AK,2023-01-21,649,2023-01-21
Alaska,AK,2023-01-28,654,2023-01-28
Alaska,AK,2023-02-04,793,2023-02-04
Alaska,AK,2023-02-11,692,2023-02-11
Alaska,AK,2023-02-18,786,2023-02-18
Alaska,AK,2023-02-25,776,2023-02-25
Alaska,AK,2023-03-04,451,2023-03-04
Alaska,AK,2023-03-11,582,2023-03-11
Arizona,AZ,2020-01-25,0,2020-01-25
Arizona,AZ,2020-02-01,1,2020-02-01
Arizona,AZ,2020-02-08,0,2020-02-08
Arizona,AZ,2020-02-15,0,2020-02-15
Arizona,AZ,2020-02-22,0,2020-02-22
Arizona,AZ,2020-02-29,0,2020-02-29
Arizona,AZ,2020-03-07,3,2020-03-07
Arizona,AZ,2020-03-14,8,2020-03-14
Arizona,AZ,2020-03-21,92,2020-03-21
Arizona,AZ,2020-03-28,669,2020-03-28
Arizona,AZ,2020-04-04,1244,2020-04-04
Arizona,AZ,2020-04-11,1377,2020-04-11
Arizona,AZ,2020-04-18,1330,2020-04-18
Arizona,AZ,2020-04-25,1563,2020-04-25
Arizona,AZ,2020-05-02,2077,2020-05-02
Arizona,AZ,2020-05-09,2596,2020-05-09
Arizona,AZ,2020-05-16,2706,2020-05-16
Arizona,AZ,2020-05-23,2388,2020-05-23
Arizona,AZ,2020-05-30,3204,2020-05-30
Arizona,AZ,2020-06-06,6194,2020-06-06
Arizona,AZ,2020-06-13,9208,2020-06-13
Arizona,AZ,2020-06-20,15467,2020-06-20
Arizona,AZ,2020-06-27,19995,2020-06-27
Arizona,AZ,2020-07-04,24446,2020-07-04
Arizona,AZ,2020-07-11,25362,2020-07-11
Arizona,AZ,2020-07-18,21335,2020-07-18
Arizona,AZ,2020-07-25,18776,2020-07-25
Arizona,AZ,2020-08-01,16961,2020-08-01
Arizona,AZ,2020-08-08,9104,2020-08-08
Arizona,AZ,2020-08-15,6548,2020-08-15
Arizona,AZ,2020-08-22,5222,2020-08-22
Arizona,AZ,2020-08-29,3409,2020-08-29
Arizona,AZ,2020-09-05,4231,2020-09-05
Arizona,AZ,2020-09-12,2613,2020-09-12
Arizona,AZ,2020-09-19,5441,2020-09-19
Arizona,AZ,2020-09-26,3255,2020-09-26
Arizona,AZ,2020-10-03,3574,2020-10-03
Arizona,AZ,2020-10-10,4571,2020-10-10
Arizona,AZ,2020-10-17,5453,2020-10-17
Arizona,AZ,2020-10-24,6348,2020-10-24
Arizona,AZ,2020-10-31,9175,2020-10-31
Arizona,AZ,2020-11-07,11438,2020-11-07
Arizona,AZ,2020-11-14,15669,2020-11-14
Arizona,AZ,2020-11-21,22281,2020-11-21
Arizona,AZ,2020-11-28,27440,2020-11-28
Arizona,AZ,2020-12-05,36126,2020-12-05
Arizona,AZ,2020-12-12,43688,2020-12-12
Arizona,AZ,2020-12-19,45643,2020-12-19
Arizona,AZ,2020-12-26,44810,2020-12-26
Arizona,AZ,2021-01-02,46107,2021-01-02
Arizona,AZ,2021-01-09,68197,2021-01-09
Arizona,AZ,2021-01-16,59556,2021-01-16
Arizona,AZ,2021-01-23,48456,2021-01-23
Arizona,AZ,2021-01-30,38022,2021-01-30
Arizona,AZ,2021-02-06,25723,2021-02-06
Arizona,AZ,2021-02-13,16222,2021-02-13
Arizona,AZ,2021-02-20,10836,2021-02-20
Arizona,AZ,2021-02-27,9501,2021-02-27
Arizona,AZ,2021-03-06,9243,2021-03-06
Arizona,AZ,2021-03-13,7288,2021-03-13
Arizona,AZ,2021-03-20,3574,2021-03-20
Arizona,AZ,2021-03-27,3575,2021-03-27
Arizona,AZ,2021-04-03,4502,2021-04-03
Arizona,AZ,2021-04-10,5178,2021-04-10
Arizona,AZ,2021-04-17,4029,2021-04-17
Arizona,AZ,2021-04-24,5031,2021-04-24
Arizona,AZ,2021-05-01,5488,2021-05-01
Arizona,AZ,2021-05-08,4796,2021-05-08
Arizona,AZ,2021-05-15,4076,2021-05-15
Arizona,AZ,2021-05-22,3933,2021-05-22
Arizona,AZ,2021-05-29,4056,2021-05-29
Arizona,AZ,2021-06-05,2752,2021-06-05
Arizona,AZ,2021-06-12,3208,2021-06-12
Arizona,AZ,2021-06-19,2955,2021-06-19
Arizona,AZ,2021-06-26,3365,2021-06-26
Arizona,AZ,2021-07-03,3808,2021-07-03
Arizona,AZ,2021-07-10,4118,2021-07-10
Arizona,AZ,2021-07-17,5480,2021-07-17
Arizona,AZ,2021-07-24,9544,2021-07-24
Arizona,AZ,2021-07-31,11575,2021-07-31
Arizona,AZ,2021-08-07,16180,2021-08-07
Arizona,AZ,2021-08-14,18994,2021-08-14
Arizona,AZ,2021-08-21,20365,2021-08-21
Arizona,AZ,2021-08-28,22989,2021-08-28
Arizona,AZ,2021-09-04,21596,2021-09-04
Arizona,AZ,2021-09-11,18476,2021-09-11
Arizona,AZ,2021-09-18,18511,2021-09-18
Arizona,AZ,2021-09-25,17444,2021-09-25
Arizona,AZ,2021-10-02,18377,2021-10-02
Arizona,AZ,2021-10-09,16252,2021-10-09
Arizona,AZ,2021-10-16,15557,2021-10-16
Arizona,AZ,2021-10-23,16364,2021-10-23
Arizona,AZ,2021-10-30,17720,2021-10-30
Arizona,AZ,2021-11-06,20417,2021-11-06
Arizona,AZ,2021-11-13,24856,2021-11-13
Arizona,AZ,2021-11-20,26916,2021-11-20
Arizona,AZ,2021-11-27,24325,2021-11-27
Arizona,AZ,2021-12-04,25660,2021-12-04
Arizona,AZ,2021-12-11,24724,2021-12-11
Arizona,AZ,2021-12-18,21103,2021-12-18
Arizona,AZ,2021-12-25,20647,2021-12-25
Arizona,AZ,2022-01-01,34999,2022-01-01
Arizona,AZ,2022-01-08,71924,2022-01-08
Arizona,AZ,2022-01-15,101560,2022-01-15
Arizona,AZ,2022-01-22,166437,2022-01-22
Arizona,AZ,2022-01-29,115284,2022-01-29
Arizona,AZ,2022-02-05,66742,2022-02-05
Arizona,AZ,2022-02-12,34432,2022-02-12
Arizona,AZ,2022-02-19,16834,2022-02-19
Arizona,AZ,2022-02-26,13970,2022-02-26
Arizona,AZ,2022-03-05,3862,2022-03-05
Arizona,AZ,2022-03-12,6566,2022-03-12
Arizona,AZ,2022-03-19,5153,2022-03-19
Arizona,AZ,2022-03-26,4566,2022-03-26
Arizona,AZ,2022-04-02,10143,2022-04-02
Arizona,AZ,2022-04-09,6828,2022-04-09
Arizona,AZ,2022-04-16,2721,2022-04-16
Arizona,AZ,2022-04-23,2437,2022-04-23
Arizona,AZ,2022-04-30,2358,2022-04-30
Arizona,AZ,2022-05-07,3911,2022-05-07
Arizona,AZ,2022-05-14,5490,2022-05-14
Arizona,AZ,2022-05-21,7204,2022-05-21
Arizona,AZ,2022-05-28,11498,2022-05-28
Arizona,AZ,2022-06-04,13042,2022-06-04
Arizona,AZ,2022-06-11,14677,2022-06-11
Arizona,AZ,2022-06-18,16334,2022-06-18
Arizona,AZ,2022-06-25,15373,2022-06-25
Arizona,AZ,2022-07-02,16514,2022-07-02
Arizona,AZ,2022-07-09,20198,2022-07-09
Arizona,AZ,2022-07-16,15280,2022-07-16
Arizona,AZ,2022-07-23,18135,2022-07-23
Arizona,AZ,2022-07-30,17249,2022-07-30
Arizona,AZ,2022-08-06,15034,2022-08-06
Arizona,AZ,2022-08-13,13501,2022-08-13
Arizona,AZ,2022-08-20,12244,2022-08-20
Arizona,AZ,2022-08-27,8505,2022-08-27
Arizona,AZ,2022-09-03,8624,2022-09-03
Arizona,AZ,2022-09-10,3681,2022-09-10
Arizona,AZ,2022-09-17,6141,2022-09-17
Arizona,AZ,2022-09-24,3999,2022-09-24
Arizona,AZ,2022-10-01,3402,2022-10-01
Arizona,AZ,2022-10-08,3675,2022-10-08
Arizona,AZ,2022-10-15,2400,2022-10-15
Arizona,AZ,2022-10-22,5438,2022-10-22
Arizona,AZ,2022-10-29,4813,2022-10-29
Arizona,AZ,2022-11-05,5129,2022-11-05
Arizona,AZ,2022-11-12,7360,2022-11-12
Arizona,AZ,2022-11-19,10775,2022-11-19
Arizona,AZ,2022-11-26,13410,2022-11-26
Arizona,AZ,2022-12-03,12987,2022-12-03
Arizona,AZ,2022-12-10,15983,2022-12-10
Arizona,AZ,2022-12-17,11550,2022-12-17
Arizona,AZ,2022-12-24,8281,2022-12-24
Arizona,AZ,2022-12-31,4973,2022-12-31
Arizona,AZ,2023-01-07,6187,2023-01-07
Arizona,AZ,2023-01-14,7369,2023-01-14
Arizona,AZ,2023-01-21,2756,2023-01-21
Arizona,AZ,2023-01-28,3554,2023-01-28
Arizona,AZ,2023-02-04,3087,2023-02-04
Arizona,AZ,2023-02-11,3099,2023-02-11
Arizona,AZ,2023-02-18,3379,2023-02-18
Arizona,AZ,2023-02-25,26866,2023-02-25
Arizona,AZ,2023-03-04,5663,2023-03-04
Arizona,AZ,2023-03-11,3220,2023-03-11
Arkansas,AR,2020-01-25,0,2020-01-25
Arkansas,AR,2020-02-01,0,2020-02-01
Arkansas,AR,2020-02-08,0,2020-02-08
Arkansas,AR,2020-02-15,0,2020-02-15
Arkansas,AR,2020-02-22,0,2020-02-22
Arkansas,AR,2020-02-29,0,2020-02-29
Arkansas,AR,2020-03-07,0,2020-03-07
Arkansas,AR,2020-03-14,3,2020-03-14
Arkansas,AR,2020-03-21,14,2020-03-21
Arkansas,AR,2020-03-28,381,2020-03-28
Arkansas,AR,2020-04-04,312,2020-04-04
Arkansas,AR,2020-04-11,517,2020-04-11
Arkansas,AR,2020-04-18,514,2020-04-18
Arkansas,AR,2020-04-25,1096,2020-04-25
Arkansas,AR,2020-05-02,482,2020-05-02
Arkansas,AR,2020-05-09,404,2020-05-09
Arkansas,AR,2020-05-16,853,2020-05-16
Arkansas,AR,2020-05-23,1197,2020-05-23
Arkansas,AR,2020-05-30,1230,2020-05-30
Arkansas,AR,2020-06-06,2098,2020-06-06
Arkansas,AR,2020-06-13,2994,2020-06-13
Arkansas,AR,2020-06-20,3044,2020-06-20
Arkansas,AR,2020-06-27,4158,2020-06-27
Arkansas,AR,2020-07-04,3776,2020-07-04
Arkansas,AR,2020-07-11,4492,2020-07-11
Arkansas,AR,2020-07-18,4600,2020-07-18
Arkansas,AR,2020-07-25,5190,2020-07-25
Arkansas,AR,2020-08-01,5019,2020-08-01
Arkansas,AR,2020-08-08,5421,2020-08-08
Arkansas,AR,2020-08-15,4210,2020-08-15
Arkansas,AR,2020-08-22,4187,2020-08-22
Arkansas,AR,2020-08-29,4188,2020-08-29
Arkansas,AR,2020-09-05,4253,2020-09-05
Arkansas,AR,2020-09-12,5067,2020-09-12
Arkansas,AR,2020-09-19,5416,2020-09-19
Arkansas,AR,2020-09-26,5386,2020-09-26
Arkansas,AR,2020-10-03,5655,2020-10-03
Arkansas,AR,2020-10-10,5739,2020-10-10
Arkansas,AR,2020-10-17,6145,2020-10-17
Arkansas,AR,2020-10-24,6810,2020-10-24
Arkansas,AR,2020-10-31,6832,2020-10-31
Arkansas,AR,2020-11-07,9145,2020-11-07
Arkansas,AR,2020-11-14,11370,2020-11-14
Arkansas,AR,2020-11-21,11453,2020-11-21
Arkansas,AR,2020-11-28,11078,2020-11-28
Arkansas,AR,2020-12-05,14655,2020-12-05
Arkansas,AR,2020-12-12,14593,2020-12-12
Arkansas,AR,2020-12-19,15961,2020-12-19
Arkansas,AR,2020-12-26,13960,2020-12-26
Arkansas,AR,2021-01-02,17560,2021-01-02
Arkansas,AR,2021-01-09,20228,2021-01-09
Arkansas,AR,2021-01-16,18412,2021-01-16
Arkansas,AR,2021-01-23,12694,2021-01-23
Arkansas,AR,2021-01-30,11454,2021-01-30
Arkansas,AR,2021-02-06,11600,2021-02-06
Arkansas,AR,2021-02-13,6662,2021-02-13
Arkansas,AR,2021-02-20,2636,2021-02-20
Arkansas,AR,2021-02-27,3971,2021-02-27
Arkansas,AR,2021-03-06,5044,2021-03-06
Arkansas,AR,2021-03-13,2242,2021-03-13
Arkansas,AR,2021-03-20,1734,2021-03-20
Arkansas,AR,2021-03-27,1563,2021-03-27
