state,USPS,datew,incidD,date
Alabama,AL,2021-07-03,30,2021-07-03
Alabama,AL,2021-07-10,43,2021-07-10
Alabama,AL,2021-07-17,41,2021-07-17
Alabama,AL,2021-07-24,39,2021-07-24
Alabama,AL,2021-07-31,55,2021-07-31
Alabama,AL,2021-08-07,89,2021-08-07
Alabama,AL,2021-08-14,141,2021-08-14
Alabama,AL,2021-08-21,235,2021-08-21
Alabama,AL,2021-08-28,219,2021-08-28
Alabama,AL,2021-09-04,195,2021-09-04
Alabama,AL,2021-09-11,259,2021-09-11
Alabama,AL,2021-09-18,536,2021-09-18
Alabama,AL,2021-09-25,813,2021-09-25
Alabama,AL,2021-10-02,447,2021-10-02
Alabama,AL,2021-10-09,387,2021-10-09
Alabama,AL,2021-10-16,322,2021-10-16
Alabama,AL,2021-10-23,225,2021-10-23
Alabama,AL,2021-10-30,161,2021-10-30
Alabama,AL,2021-11-06,261,2021-11-06
Alabama,AL,2021-11-13,146,2021-11-13
Alabama,AL,2021-11-20,98,2021-11-20
Alabama,AL,2021-11-27,43,2021-11-27
Alabama,AL,2021-12-04,71,2021-12-04
Alabama,AL,2021-12-11,81,2021-12-11
Alabama,AL,2021-12-18,88,2021-12-18
Alabama,AL,2021-12-25,65,2021-12-25
Alabama,AL,2022-01-01,37,2022-01-01
Alabama,AL,2022-01-08,169,2022-01-08
Alabama,AL,2022-01-15,17,2022-01-15
Alabama,AL,2022-01-22,186,2022-01-22
Alabama,AL,2022-01-29,260,2022-01-29
Alabama,AL,2022-02-05,285,2022-02-05
Alabama,AL,2022-02-12,200,2022-02-12
Alabama,AL,2022-02-19,361,2022-02-19
Alabama,AL,2022-02-26,292,2022-02-26
Alabama,AL,2022-03-05,256,2022-03-05
Alabama,AL,2022-03-12,351,2022-03-12
Alabama,AL,2022-03-19,206,2022-03-19
Alabama,AL,2022-03-26,172,2022-03-26
Alabama,AL,2022-04-02,103,2022-04-02
Alabama,AL,2022-04-09,63,2022-04-09
Alabama,AL,2022-04-16,126,2022-04-16
Alabama,AL,2022-04-23,39,2022-04-23
Alabama,AL,2022-04-30,27,2022-04-30
Alabama,AL,2022-05-07,34,2022-05-07
Alabama,AL,2022-05-14,27,2022-05-14
Alabama,AL,2022-05-21,17,2022-05-21
Alabama,AL,2022-05-28,13,2022-05-28
Alabama,AL,2022-06-04,6,2022-06-04
Alabama,AL,2022-06-11,28,2022-06-11
Alabama,AL,2022-06-18,4,2022-06-18
Alabama,AL,2022-06-25,33,2022-06-25
Alabama,AL,2022-07-02,30,2022-07-02
Alabama,AL,2022-07-09,27,2022-07-09
Alabama,AL,2022-07-16,36,2022-07-16
Alabama,AL,2022-07-23,50,2022-07-23
Alabama,AL,2022-07-30,19,2022-07-30
Alabama,AL,2022-08-06,83,2022-08-06
Alabama,AL,2022-08-13,52,2022-08-13
Alabama,AL,2022-08-20,15,2022-08-20
Alabama,AL,2022-08-27,7,2022-08-27
Alabama,AL,2022-09-03,112,2022-09-03
Alabama,AL,2022-09-10,79,2022-09-10
Alabama,AL,2022-09-17,83,2022-09-17
Alabama,AL,2022-09-24,73,2022-09-24
Alabama,AL,2022-10-01,27,2022-10-01
Alabama,AL,2022-10-08,51,2022-10-08
Alabama,AL,2022-10-15,32,2022-10-15
Alabama,AL,2022-10-22,28,2022-10-22
Alabama,AL,2022-10-29,25,2022-10-29
Alabama,AL,2022-11-05,0,2022-11-05
Alabama,AL,2022-11-12,50,2022-11-12
Alabama,AL,2022-11-19,9,2022-11-19
Alabama,AL,2022-11-26,14,2022-11-26
Alabama,AL,2022-12-03,21,2022-12-03
Alabama,AL,2022-12-10,30,2022-12-10
Alabama,AL,2022-12-17,22,2022-12-17
Alabama,AL,2022-12-24,33,2022-12-24
Alabama,AL,2022-12-31,0,2022-12-31
Alabama,AL,2023-01-07,39,2023-01-07
Alabama,AL,2023-01-14,44,2023-01-14
Alabama,AL,2023-01-21,26,2023-01-21
Alabama,AL,2023-01-28,24,2023-01-28
Alabama,AL,2023-02-04,12,2023-02-04
Alabama,AL,2023-02-11,10,2023-02-11
Alabama,AL,2023-02-18,7,2023-02-18
Alabama,AL,2023-02-25,33,2023-02-25
Alabama,AL,2023-03-04,69,2023-03-04
Alabama,AL,2023-03-11,31,2023-03-11
Alaska,AK,2020-01-25,0,2020-01-25
Alaska,AK,2020-02-01,0,2020-02-01
Alaska,AK,2020-02-08,0,2020-02-08
Alaska,AK,2020-02-15,0,2020-02-15
Alaska,AK,2020-02-22,0,2020-02-22
Alaska,AK,2020-02-29,0,2020-02-29
Alaska,AK,2020-03-07,0,2020-03-07
Alaska,AK,2020-03-14,0,2020-03-14
Alaska,AK,2020-03-21,0,2020-03-21
Alaska,AK,2020-03-28,1,2020-03-28
Alaska,AK,2020-04-04,0,2020-04-04
Alaska,AK,2020-04-11,4,2020-04-11
Alaska,AK,2020-04-18,0,2020-04-18
Alaska,AK,2020-04-25,0,2020-04-25
Alaska,AK,2020-05-02,4,2020-05-02
Alaska,AK,2020-05-09,1,2020-05-09
Alaska,AK,2020-05-16,0,2020-05-16
Alaska,AK,2020-05-23,0,2020-05-23
Alaska,AK,2020-05-30,0,2020-05-30
Alaska,AK,2020-06-06,0,2020-06-06
Alaska,AK,2020-06-13,2,2020-06-13
Alaska,AK,2020-06-20,0,2020-06-20
Alaska,AK,2020-06-27,1,2020-06-27
Alaska,AK,2020-07-04,1,2020-07-04
Alaska,AK,2020-07-11,2,2020-07-11
Alaska,AK,2020-07-18,1,2020-07-18
Alaska,AK,2020-07-25,2,2020-07-25
Alaska,AK,2020-08-01,5,2020-08-01
Alaska,AK,2020-08-08,2,2020-08-08
Alaska,AK,2020-08-15,2,2020-08-15
Alaska,AK,2020-08-22,2,2020-08-22
Alaska,AK,2020-08-29,6,2020-08-29
Alaska,AK,2020-09-05,5,2020-09-05
Alaska,AK,2020-09-12,2,2020-09-12
Alaska,AK,2020-09-19,1,2020-09-19
Alaska,AK,2020-09-26,7,2020-09-26
Alaska,AK,2020-10-03,7,2020-10-03
Alaska,AK,2020-10-10,2,2020-10-10
Alaska,AK,2020-10-17,6,2020-10-17
Alaska,AK,2020-10-24,2,2020-10-24
Alaska,AK,2020-10-31,14,2020-10-31
Alaska,AK,2020-11-07,4,2020-11-07
Alaska,AK,2020-11-14,14,2020-11-14
Alaska,AK,2020-11-21,3,2020-11-21
Alaska,AK,2020-11-28,19,2020-11-28
Alaska,AK,2020-12-05,21,2020-12-05
Alaska,AK,2020-12-12,32,2020-12-12
Alaska,AK,2020-12-19,8,2020-12-19
Alaska,AK,2020-12-26,17,2020-12-26
Alaska,AK,2021-01-02,15,2021-01-02
Alaska,AK,2021-01-09,9,2021-01-09
Alaska,AK,2021-01-16,5,2021-01-16
Alaska,AK,2021-01-23,30,2021-01-23
Alaska,AK,2021-01-30,3,2021-01-30
Alaska,AK,2021-02-06,17,2021-02-06
Alaska,AK,2021-02-13,3,2021-02-13
Alaska,AK,2021-02-20,7,2021-02-20
Alaska,AK,2021-02-27,1,2021-02-27
Alaska,AK,2021-03-06,15,2021-03-06
Alaska,AK,2021-03-13,1,2021-03-13
Alaska,AK,2021-03-20,4,2021-03-20
Alaska,AK,2021-03-27,3,2021-03-27
Alaska,AK,2021-04-03,0,2021-04-03
Alaska,AK,2021-04-10,0,2021-04-10
Alaska,AK,2021-04-17,21,2021-04-17
Alaska,AK,2021-04-24,0,2021-04-24
Alaska,AK,2021-05-01,13,2021-05-01
Alaska,AK,2021-05-08,2,2021-05-08
Alaska,AK,2021-05-15,4,2021-05-15
Alaska,AK,2021-05-22,16,2021-05-22
Alaska,AK,2021-05-29,0,2021-05-29
Alaska,AK,2021-06-05,0,2021-06-05
Alaska,AK,2021-06-12,4,2021-06-12
Alaska,AK,2021-06-19,0,2021-06-19
Alaska,AK,2021-06-26,1,2021-06-26
Alaska,AK,2021-07-03,3,2021-07-03
Alaska,AK,2021-07-10,2,2021-07-10
Alaska,AK,2021-07-17,2,2021-07-17
Alaska,AK,2021-07-24,3,2021-07-24
Alaska,AK,2021-07-31,5,2021-07-31
Alaska,AK,2021-08-07,9,2021-08-07
Alaska,AK,2021-08-14,5,2021-08-14
Alaska,AK,2021-08-21,11,2021-08-21
Alaska,AK,2021-08-28,24,2021-08-28
Alaska,AK,2021-09-04,10,2021-09-04
Alaska,AK,2021-09-11,10,2021-09-11
Alaska,AK,2021-09-18,11,2021-09-18
Alaska,AK,2021-09-25,63,2021-09-25
Alaska,AK,2021-10-02,46,2021-10-02
Alaska,AK,2021-10-09,13,2021-10-09
Alaska,AK,2021-10-16,25,2021-10-16
Alaska,AK,2021-10-23,81,2021-10-23
Alaska,AK,2021-10-30,27,2021-10-30
Alaska,AK,2021-11-06,16,2021-11-06
Alaska,AK,2021-11-13,90,2021-11-13
Alaska,AK,2021-11-20,31,2021-11-20
Alaska,AK,2021-11-27,15,2021-11-27
Alaska,AK,2021-12-04,6,2021-12-04
Alaska,AK,2021-12-11,3,2021-12-11
Alaska,AK,2021-12-18,60,2021-12-18
Alaska,AK,2021-12-25,30,2021-12-25
Alaska,AK,2022-01-01,2,2022-01-01
Alaska,AK,2022-01-08,2,2022-01-08
Alaska,AK,2022-01-15,7,2022-01-15
Alaska,AK,2022-01-22,64,2022-01-22
Alaska,AK,2022-01-29,34,2022-01-29
Alaska,AK,2022-02-05,8,2022-02-05
Alaska,AK,2022-02-12,21,2022-02-12
Alaska,AK,2022-02-19,27,2022-02-19
Alaska,AK,2022-02-26,22,2022-02-26
Alaska,AK,2022-03-05,28,2022-03-05
Alaska,AK,2022-03-12,10,2022-03-12
Alaska,AK,2022-03-19,1,2022-03-19
Alaska,AK,2022-03-26,20,2022-03-26
Alaska,AK,2022-04-02,6,2022-04-02
Alaska,AK,2022-04-09,0,2022-04-09
Alaska,AK,2022-04-16,7,2022-04-16
Alaska,AK,2022-04-23,13,2022-04-23
Alaska,AK,2022-04-30,4,2022-04-30
Alaska,AK,2022-05-07,1,2022-05-07
Alaska,AK,2022-05-14,15,2022-05-14
Alaska,AK,2022-05-21,18,2022-05-21
Alaska,AK,2022-05-28,0,2022-05-28
Alaska,AK,2022-06-04,0,2022-06-04
Alaska,AK,2022-06-11,0,2022-06-11
Alaska,AK,2022-06-18,0,2022-06-18
Alaska,AK,2022-06-25,0,2022-06-25
Alaska,AK,2022-07-02,0,2022-07-02
Alaska,AK,2022-07-09,0,2022-07-09
Alaska,AK,2022-07-16,24,2022-07-16
Alaska,AK,2022-07-23,0,2022-07-23
Alaska,AK,2022-07-30,0,2022-07-30
Alaska,AK,2022-08-06,0,2022-08-06
Alaska,AK,2022-08-13,21,2022-08-13
Alaska,AK,2022-08-20,0,2022-08-20
Alaska,AK,2022-08-27,8,2022-08-27
Alaska,AK,2022-09-03,0,2022-09-03
Alaska,AK,2022-09-10,0,2022-09-10
Alaska,AK,2022-09-17,26,2022-09-17
Alaska,AK,2022-09-24,0,2022-09-24
Alaska,AK,2022-10-01,0,2022-10-01
Alaska,AK,2022-10-08,29,2022-10-08
Alaska,AK,2022-10-15,0,2022-10-15
Alaska,AK,2022-10-22,0,2022-10-22
Alaska,AK,2022-10-29,20,2022-10-29
Alaska,AK,2022-11-05,0,2022-11-05
Alaska,AK,2022-11-12,0,2022-11-12
Alaska,AK,2022-11-19,23,2022-11-19
Alaska,AK,2022-11-26,0,2022-11-26
Alaska,AK,2022-12-03,0,2022-12-03
Alaska,AK,2022-12-10,0,2022-12-10
Alaska,AK,2022-12-17,0,2022-12-17
Alaska,AK,2022-12-24,19,2022-12-24
Alaska,AK,2022-12-31,0,2022-12-31
Alaska,AK,2023-01-07,0,2023-01-07
Alaska,AK,2023-01-14,0,2023-01-14
Alaska,AK,2023-01-21,0,2023-01-21
Alaska,AK,2023-01-28,18,2023-01-28
Alaska,AK,2023-02-04,0,2023-02-04
Alaska,AK,2023-02-11,0,2023-02-11
Alaska,AK,2023-02-18,0,2023-02-18
Alaska,AK,2023-02-25,13,2023-02-25
Alaska,AK,2023-03-04,0,2023-03-04
Alaska,AK,2023-03-11,0,2023-03-11
Arizona,AZ,2020-01-25,0,2020-01-25
Arizona,AZ,2020-02-01,0,2020-02-01
Arizona,AZ,2020-02-08,0,2020-02-08
Arizona,AZ,2020-02-15,0,2020-02-15
Arizona,AZ,2020-02-22,0,2020-02-22
Arizona,AZ,2020-02-29,0,2020-02-29
Arizona,AZ,2020-03-07,0,2020-03-07
Arizona,AZ,2020-03-14,0,2020-03-14
Arizona,AZ,2020-03-21,1,2020-03-21
Arizona,AZ,2020-03-28,10,2020-03-28
Arizona,AZ,2020-04-04,39,2020-04-04
Arizona,AZ,2020-04-11,38,2020-04-11
Arizona,AZ,2020-04-18,92,2020-04-18
Arizona,AZ,2020-04-25,93,2020-04-25
Arizona,AZ,2020-05-02,55,2020-05-02
Arizona,AZ,2020-05-09,203,2020-05-09
Arizona,AZ,2020-05-16,147,2020-05-16
Arizona,AZ,2020-05-23,121,2020-05-23
Arizona,AZ,2020-05-30,101,2020-05-30
Arizona,AZ,2020-06-06,141,2020-06-06
Arizona,AZ,2020-06-13,146,2020-06-13
Arizona,AZ,2020-06-20,158,2020-06-20
Arizona,AZ,2020-06-27,234,2020-06-27
Arizona,AZ,2020-07-04,238,2020-07-04
Arizona,AZ,2020-07-11,333,2020-07-11
Arizona,AZ,2020-07-18,578,2020-07-18
Arizona,AZ,2020-07-25,557,2020-07-25
Arizona,AZ,2020-08-01,460,2020-08-01
Arizona,AZ,2020-08-08,391,2020-08-08
Arizona,AZ,2020-08-15,354,2020-08-15
Arizona,AZ,2020-08-22,265,2020-08-22
Arizona,AZ,2020-08-29,251,2020-08-29
Arizona,AZ,2020-09-05,200,2020-09-05
Arizona,AZ,2020-09-12,103,2020-09-12
Arizona,AZ,2020-09-19,156,2020-09-19
Arizona,AZ,2020-09-26,156,2020-09-26
Arizona,AZ,2020-10-03,81,2020-10-03
Arizona,AZ,2020-10-10,56,2020-10-10
Arizona,AZ,2020-10-17,65,2020-10-17
Arizona,AZ,2020-10-24,46,2020-10-24
Arizona,AZ,2020-10-31,109,2020-10-31
Arizona,AZ,2020-11-07,169,2020-11-07
Arizona,AZ,2020-11-14,153,2020-11-14
Arizona,AZ,2020-11-21,156,2020-11-21
Arizona,AZ,2020-11-28,168,2020-11-28
Arizona,AZ,2020-12-05,301,2020-12-05
Arizona,AZ,2020-12-12,397,2020-12-12
Arizona,AZ,2020-12-19,615,2020-12-19
Arizona,AZ,2020-12-26,487,2020-12-26
Arizona,AZ,2021-01-02,637,2021-01-02
Arizona,AZ,2021-01-09,976,2021-01-09
Arizona,AZ,2021-01-16,1211,2021-01-16
Arizona,AZ,2021-01-23,922,2021-01-23
Arizona,AZ,2021-01-30,927,2021-01-30
Arizona,AZ,2021-02-06,913,2021-02-06
Arizona,AZ,2021-02-13,936,2021-02-13
Arizona,AZ,2021-02-20,533,2021-02-20
Arizona,AZ,2021-02-27,487,2021-02-27
Arizona,AZ,2021-03-06,354,2021-03-06
Arizona,AZ,2021-03-13,225,2021-03-13
Arizona,AZ,2021-03-20,188,2021-03-20
Arizona,AZ,2021-03-27,178,2021-03-27
Arizona,AZ,2021-04-03,78,2021-04-03
Arizona,AZ,2021-04-10,95,2021-04-10
Arizona,AZ,2021-04-17,66,2021-04-17
Arizona,AZ,2021-04-24,106,2021-04-24
Arizona,AZ,2021-05-01,79,2021-05-01
Arizona,AZ,2021-05-08,68,2021-05-08
Arizona,AZ,2021-05-15,53,2021-05-15
Arizona,AZ,2021-05-22,85,2021-05-22
Arizona,AZ,2021-05-29,79,2021-05-29
Arizona,AZ,2021-06-05,72,2021-06-05
Arizona,AZ,2021-06-12,61,2021-06-12
Arizona,AZ,2021-06-19,85,2021-06-19
Arizona,AZ,2021-06-26,75,2021-06-26
Arizona,AZ,2021-07-03,62,2021-07-03
Arizona,AZ,2021-07-10,54,2021-07-10
Arizona,AZ,2021-07-17,69,2021-07-17
Arizona,AZ,2021-07-24,70,2021-07-24
Arizona,AZ,2021-07-31,77,2021-07-31
Arizona,AZ,2021-08-07,131,2021-08-07
Arizona,AZ,2021-08-14,86,2021-08-14
Arizona,AZ,2021-08-21,135,2021-08-21
Arizona,AZ,2021-08-28,182,2021-08-28
Arizona,AZ,2021-09-04,217,2021-09-04
Arizona,AZ,2021-09-11,184,2021-09-11
Arizona,AZ,2021-09-18,304,2021-09-18
Arizona,AZ,2021-09-25,308,2021-09-25
Arizona,AZ,2021-10-02,312,2021-10-02
Arizona,AZ,2021-10-09,213,2021-10-09
Arizona,AZ,2021-10-16,182,2021-10-16
Arizona,AZ,2021-10-23,352,2021-10-23
Arizona,AZ,2021-10-30,300,2021-10-30
Arizona,AZ,2021-11-06,255,2021-11-06
Arizona,AZ,2021-11-13,245,2021-11-13
Arizona,AZ,2021-11-20,288,2021-11-20
Arizona,AZ,2021-11-27,283,2021-11-27
Arizona,AZ,2021-12-04,335,2021-12-04
Arizona,AZ,2021-12-11,464,2021-12-11
Arizona,AZ,2021-12-18,493,2021-12-18
Arizona,AZ,2021-12-25,468,2021-12-25
Arizona,AZ,2022-01-01,372,2022-01-01
Arizona,AZ,2022-01-08,351,2022-01-08
Arizona,AZ,2022-01-15,363,2022-01-15
Arizona,AZ,2022-01-22,489,2022-01-22
Arizona,AZ,2022-01-29,626,2022-01-29
Arizona,AZ,2022-02-05,445,2022-02-05
Arizona,AZ,2022-02-12,536,2022-02-12
Arizona,AZ,2022-02-19,345,2022-02-19
Arizona,AZ,2022-02-26,198,2022-02-26
Arizona,AZ,2022-03-05,1,2022-03-05
Arizona,AZ,2022-03-12,382,2022-03-12
Arizona,AZ,2022-03-19,456,2022-03-19
Arizona,AZ,2022-03-26,336,2022-03-26
Arizona,AZ,2022-04-02,386,2022-04-02
Arizona,AZ,2022-04-09,413,2022-04-09
Arizona,AZ,2022-04-16,141,2022-04-16
Arizona,AZ,2022-04-23,30,2022-04-23
Arizona,AZ,2022-04-30,99,2022-04-30
Arizona,AZ,2022-05-07,238,2022-05-07
Arizona,AZ,2022-05-14,41,2022-05-14
Arizona,AZ,2022-05-21,29,2022-05-21
Arizona,AZ,2022-05-28,40,2022-05-28
Arizona,AZ,2022-06-04,33,2022-06-04
Arizona,AZ,2022-06-11,39,2022-06-11
Arizona,AZ,2022-06-18,28,2022-06-18
Arizona,AZ,2022-06-25,52,2022-06-25
Arizona,AZ,2022-07-02,64,2022-07-02
Arizona,AZ,2022-07-09,57,2022-07-09
Arizona,AZ,2022-07-16,60,2022-07-16
Arizona,AZ,2022-07-23,66,2022-07-23
Arizona,AZ,2022-07-30,70,2022-07-30
Arizona,AZ,2022-08-06,74,2022-08-06
Arizona,AZ,2022-08-13,59,2022-08-13
Arizona,AZ,2022-08-20,81,2022-08-20
Arizona,AZ,2022-08-27,65,2022-08-27
Arizona,AZ,2022-09-03,67,2022-09-03
Arizona,AZ,2022-09-10,48,2022-09-10
Arizona,AZ,2022-09-17,81,2022-09-17
Arizona,AZ,2022-09-24,82,2022-09-24
Arizona,AZ,2022-10-01,44,2022-10-01
Arizona,AZ,2022-10-08,36,2022-10-08
Arizona,AZ,2022-10-15,49,2022-10-15
Arizona,AZ,2022-10-22,60,2022-10-22
Arizona,AZ,2022-10-29,34,2022-10-29
Arizona,AZ,2022-11-05,25,2022-11-05
Arizona,AZ,2022-11-12,40,2022-11-12
Arizona,AZ,2022-11-19,33,2022-11-19
Arizona,AZ,2022-11-26,63,2022-11-26
Arizona,AZ,2022-12-03,42,2022-12-03
Arizona,AZ,2022-12-10,71,2022-12-10
Arizona,AZ,2022-12-17,107,2022-12-17
Arizona,AZ,2022-12-24,109,2022-12-24
Arizona,AZ,2022-12-31,144,2022-12-31
Arizona,AZ,2023-01-07,129,2023-01-07
Arizona,AZ,2023-01-14,192,2023-01-14
Arizona,AZ,2023-01-21,128,2023-01-21
Arizona,AZ,2023-01-28,144,2023-01-28
Arizona,AZ,2023-02-04,107,2023-02-04
Arizona,AZ,2023-02-11,54,2023-02-11
Arizona,AZ,2023-02-18,67,2023-02-18
Arizona,AZ,2023-02-25,39,2023-02-25
Arizona,AZ,2023-03-04,34,2023-03-04
Arizona,AZ,2023-03-11,26,2023-03-11
Arkansas,AR,2020-01-25,0,2020-01-25
Arkansas,AR,2020-02-01,0,2020-02-01
Arkansas,AR,2020-02-08,0,2020-02-08
Arkansas,AR,2020-02-15,0,2020-02-15
Arkansas,AR,2020-02-22,0,2020-02-22
Arkansas,AR,2020-02-29,0,2020-02-29
Arkansas,AR,2020-03-07,0,2020-03-07
Arkansas,AR,2020-03-14,0,2020-03-14
Arkansas,AR,2020-03-21,0,2020-03-21
Arkansas,AR,2020-03-28,1,2020-03-28
Arkansas,AR,2020-04-04,5,2020-04-04
Arkansas,AR,2020-04-11,19,2020-04-11
Arkansas,AR,2020-04-18,12,2020-04-18
Arkansas,AR,2020-04-25,10,2020-04-25
Arkansas,AR,2020-05-02,25,2020-05-02
Arkansas,AR,2020-05-09,16,2020-05-09
Arkansas,AR,2020-05-16,10,2020-05-16
Arkansas,AR,2020-05-23,17,2020-05-23
Arkansas,AR,2020-05-30,18,2020-05-30
Arkansas,AR,2020-06-06,19,2020-06-06
Arkansas,AR,2020-06-13,24,2020-06-13
Arkansas,AR,2020-06-20,47,2020-06-20
Arkansas,AR,2020-06-27,35,2020-06-27
Arkansas,AR,2020-07-04,27,2020-07-04
Arkansas,AR,2020-07-11,33,2020-07-11
Arkansas,AR,2020-07-18,36,2020-07-18
Arkansas,AR,2020-07-25,43,2020-07-25
Arkansas,AR,2020-08-01,60,2020-08-01
Arkansas,AR,2020-08-08,77,2020-08-08
Arkansas,AR,2020-08-15,63,2020-08-15
Arkansas,AR,2020-08-22,76,2020-08-22
Arkansas,AR,2020-08-29,97,2020-08-29
Arkansas,AR,2020-09-05,111,2020-09-05
Arkansas,AR,2020-09-12,88,2020-09-12
Arkansas,AR,2020-09-19,210,2020-09-19
Arkansas,AR,2020-09-26,103,2020-09-26
Arkansas,AR,2020-10-03,119,2020-10-03
Arkansas,AR,2020-10-10,143,2020-10-10
Arkansas,AR,2020-10-17,138,2020-10-17
Arkansas,AR,2020-10-24,115,2020-10-24
Arkansas,AR,2020-10-31,127,2020-10-31
Arkansas,AR,2020-11-07,143,2020-11-07
Arkansas,AR,2020-11-14,89,2020-11-14
Arkansas,AR,2020-11-21,175,2020-11-21
Arkansas,AR,2020-11-28,108,2020-11-28
Arkansas,AR,2020-12-05,181,2020-12-05
Arkansas,AR,2020-12-12,290,2020-12-12
Arkansas,AR,2020-12-19,281,2020-12-19
Arkansas,AR,2020-12-26,250,2020-12-26
Arkansas,AR,2021-01-02,288,2021-01-02
Arkansas,AR,2021-01-09,281,2021-01-09
Arkansas,AR,2021-01-16,281,2021-01-16
Arkansas,AR,2021-01-23,267,2021-01-23
Arkansas,AR,2021-01-30,271,2021-01-30
Arkansas,AR,2021-02-06,194,2021-02-06
Arkansas,AR,2021-02-13,153,2021-02-13
Arkansas,AR,2021-02-20,45,2021-02-20
Arkansas,AR,2021-02-27,15,2021-02-27
Arkansas,AR,2021-03-06,58,2021-03-06
Arkansas,AR,2021-03-13,157,2021-03-13
Arkansas,AR,2021-03-20,77,2021-03-20
Arkansas,AR,2021-03-27,59,2021-03-27
Arkansas,AR,2021-04-03,51,2021-04-03
Arkansas,AR,2021-04-10,22,2021-04-10
Arkansas,AR,2021-04-17,31,2021-04-17
Arkansas,AR,2021-04-24,25,2021-04-24
Arkansas,AR,2021-05-01,23,2021-05-01
Arkansas,AR,2021-05-08,18,2021-05-08
Arkansas,AR,2021-05-15,32,2021-05-15
Arkansas,AR,2021-05-22,20,2021-05-22
Arkansas,AR,2021-05-29,11,2021-05-29
Arkansas,AR,2021-06-05,21,2021-06-05
Arkansas,AR,2021-06-12,13,2021-06-12
Arkansas,AR,2021-06-19,15,2021-06-19
Arkansas,AR,2021-06-26,19,2021-06-26
Arkansas,AR,2021-07-03,20,2021-07-03
Arkansas,AR,2021-07-10,36,2021-07-10
Arkansas,AR,2021-07-17,42,2021-07-17
Arkansas,AR,2021-07-24,60,2021-07-24
