state,USPS,datew,incidD,date,out,no,back_date
Florida,FL,10/29/2022,0,10/29/2022,0,,
Florida,FL,11/5/2022,365,11/5/2022,0,,
Florida,FL,11/12/2022,0,11/12/2022,0,,
Florida,FL,11/19/2022,334,11/19/2022,0,,
Florida,FL,11/26/2022,0,11/26/2022,0,,
Florida,FL,12/3/2022,326,12/3/2022,0,,
Florida,FL,12/10/2022,0,12/10/2022,0,,
Florida,FL,12/17/2022,405,12/17/2022,0,,
Florida,FL,12/24/2022,0,12/24/2022,0,,
Florida,FL,12/31/2022,300,12/31/2022,0,,
Florida,FL,1/7/2023,270,1/7/2023,0,,
Florida,FL,1/14/2023,0,1/14/2023,0,,
Florida,FL,1/21/2023,751,1/21/2023,0,,
Florida,FL,1/28/2023,0,1/28/2023,0,,
Florida,FL,2/4/2023,783,2/4/2023,0,,
Florida,FL,2/11/2023,0,2/11/2023,0,,
Florida,FL,2/18/2023,584,2/18/2023,0,,
Florida,FL,2/25/2023,0,2/25/2023,0,,
Florida,FL,3/4/2023,556,3/4/2023,0,,
Florida,FL,3/11/2023,0,3/11/2023,0,,
Georgia,GA,1/25/2020,0,1/25/2020,0,,
Georgia,GA,2/1/2020,0,2/1/2020,0,,
Georgia,GA,2/8/2020,0,2/8/2020,0,,
Georgia,GA,2/15/2020,0,2/15/2020,0,,
Georgia,GA,2/22/2020,0,2/22/2020,0,,
Georgia,GA,2/29/2020,0,2/29/2020,0,,
Georgia,GA,3/7/2020,0,3/7/2020,0,,
Georgia,GA,3/14/2020,1,3/14/2020,0,,
Georgia,GA,3/21/2020,19,3/21/2020,0,,
Georgia,GA,3/28/2020,49,3/28/2020,0,,
Georgia,GA,4/4/2020,132,4/4/2020,0,,
Georgia,GA,4/11/2020,228,4/11/2020,0,,
Georgia,GA,4/18/2020,244,4/18/2020,0,,
Georgia,GA,4/25/2020,234,4/25/2020,0,,
Georgia,GA,5/2/2020,270,5/2/2020,0,,
Georgia,GA,5/9/2020,226,5/9/2020,0,,
Georgia,GA,5/16/2020,195,5/16/2020,0,,
Georgia,GA,5/23/2020,224,5/23/2020,0,,
Georgia,GA,5/30/2020,182,5/30/2020,0,,
Georgia,GA,6/6/2020,174,6/6/2020,0,,
Georgia,GA,6/13/2020,269,6/13/2020,0,,
Georgia,GA,6/20/2020,195,6/20/2020,0,,
Georgia,GA,6/27/2020,134,6/27/2020,0,,
Georgia,GA,7/4/2020,81,7/4/2020,0,,
Georgia,GA,7/11/2020,139,7/11/2020,0,,
Georgia,GA,7/18/2020,173,7/18/2020,0,,
Georgia,GA,7/25/2020,325,7/25/2020,0,,
Georgia,GA,8/1/2020,331,8/1/2020,0,,
Georgia,GA,8/8/2020,361,8/8/2020,0,,
Georgia,GA,8/15/2020,483,8/15/2020,0,,
Georgia,GA,8/22/2020,423,8/22/2020,0,,
Georgia,GA,8/29/2020,484,8/29/2020,0,,
Georgia,GA,9/5/2020,401,9/5/2020,0,,
Georgia,GA,9/12/2020,310,9/12/2020,0,,
Georgia,GA,9/19/2020,312,9/19/2020,0,,
Georgia,GA,9/26/2020,315,9/26/2020,0,,
Georgia,GA,10/3/2020,219,10/3/2020,0,,
Georgia,GA,10/10/2020,260,10/10/2020,0,,
Georgia,GA,10/17/2020,214,10/17/2020,0,,
Georgia,GA,10/24/2020,201,10/24/2020,0,,
Georgia,GA,10/31/2020,171,10/31/2020,0,,
Georgia,GA,11/7/2020,668,11/7/2020,1,450,
Georgia,GA,11/14/2020,309,11/14/2020,0,,
Georgia,GA,11/21/2020,223,11/21/2020,0,,
Georgia,GA,11/28/2020,245,11/28/2020,0,,
Georgia,GA,12/5/2020,369,12/5/2020,0,,
Georgia,GA,12/12/2020,282,12/12/2020,0,,
Georgia,GA,12/19/2020,306,12/19/2020,0,,
Georgia,GA,12/26/2020,304,12/26/2020,0,,
Georgia,GA,1/2/2021,275,1/2/2021,0,,
Georgia,GA,1/9/2021,497,1/9/2021,0,,
Georgia,GA,1/16/2021,834,1/16/2021,0,,
Georgia,GA,1/23/2021,955,1/23/2021,0,,
Georgia,GA,1/30/2021,950,1/30/2021,0,,
Georgia,GA,2/6/2021,894,2/6/2021,0,,
Georgia,GA,2/13/2021,760,2/13/2021,0,,
Georgia,GA,2/20/2021,892,2/20/2021,0,,
Georgia,GA,2/27/2021,552,2/27/2021,0,,
Georgia,GA,3/6/2021,611,3/6/2021,0,,
Georgia,GA,3/13/2021,311,3/13/2021,0,,
Georgia,GA,3/20/2021,316,3/20/2021,0,,
Georgia,GA,3/27/2021,396,3/27/2021,0,,
Georgia,GA,4/3/2021,284,4/3/2021,0,,
Georgia,GA,4/10/2021,278,4/10/2021,0,,
Georgia,GA,4/17/2021,269,4/17/2021,0,,
Georgia,GA,4/24/2021,216,4/24/2021,0,,
Georgia,GA,5/1/2021,239,5/1/2021,0,,
Georgia,GA,5/8/2021,156,5/8/2021,0,,
Georgia,GA,5/15/2021,139,5/15/2021,0,,
Georgia,GA,5/22/2021,156,5/22/2021,0,,
Georgia,GA,5/29/2021,176,5/29/2021,0,,
Georgia,GA,6/5/2021,149,6/5/2021,0,,
Georgia,GA,6/12/2021,172,6/12/2021,0,,
Georgia,GA,6/19/2021,161,6/19/2021,0,,
Georgia,GA,6/26/2021,76,6/26/2021,0,,
Georgia,GA,7/3/2021,50,7/3/2021,0,,
Georgia,GA,7/10/2021,43,7/10/2021,0,,
Georgia,GA,7/17/2021,72,7/17/2021,0,,
Georgia,GA,7/24/2021,56,7/24/2021,0,,
Georgia,GA,7/31/2021,62,7/31/2021,0,,
Georgia,GA,8/7/2021,126,8/7/2021,0,,
Georgia,GA,8/14/2021,176,8/14/2021,0,,
Georgia,GA,8/21/2021,221,8/21/2021,0,,
Georgia,GA,8/28/2021,354,8/28/2021,0,,
Georgia,GA,9/4/2021,567,9/4/2021,0,,
Georgia,GA,9/11/2021,621,9/11/2021,0,,
Georgia,GA,9/18/2021,836,9/18/2021,0,,
Georgia,GA,9/25/2021,901,9/25/2021,0,,
Georgia,GA,10/2/2021,764,10/2/2021,0,,
Georgia,GA,10/9/2021,900,10/9/2021,0,,
Georgia,GA,10/16/2021,632,10/16/2021,0,,
Georgia,GA,10/23/2021,745,10/23/2021,0,,
Georgia,GA,10/30/2021,546,10/30/2021,0,,
Georgia,GA,11/6/2021,418,11/6/2021,0,,
Georgia,GA,11/13/2021,378,11/13/2021,0,,
Georgia,GA,11/20/2021,301,11/20/2021,0,,
Georgia,GA,11/27/2021,196,11/27/2021,0,,
Georgia,GA,12/4/2021,297,12/4/2021,0,,
Georgia,GA,12/11/2021,168,12/11/2021,0,,
Georgia,GA,12/18/2021,171,12/18/2021,0,,
Georgia,GA,12/25/2021,215,12/25/2021,0,,
Georgia,GA,1/1/2022,234,1/1/2022,0,,
Georgia,GA,1/8/2022,78,1/8/2022,0,,
Georgia,GA,1/15/2022,407,1/15/2022,0,,
Georgia,GA,1/22/2022,366,1/22/2022,0,,
Georgia,GA,1/29/2022,574,1/29/2022,0,,
Georgia,GA,2/5/2022,534,2/5/2022,0,,
Georgia,GA,2/12/2022,674,2/12/2022,0,,
Georgia,GA,2/19/2022,681,2/19/2022,0,,
Georgia,GA,2/26/2022,559,2/26/2022,0,,
Georgia,GA,3/5/2022,466,3/5/2022,0,,
Georgia,GA,3/12/2022,411,3/12/2022,0,,
Georgia,GA,3/19/2022,314,3/19/2022,0,,
Georgia,GA,3/26/2022,264,3/26/2022,0,,
Georgia,GA,4/2/2022,286,4/2/2022,0,,
Georgia,GA,4/9/2022,275,4/9/2022,0,,
Georgia,GA,4/16/2022,191,4/16/2022,0,,
Georgia,GA,4/23/2022,136,4/23/2022,0,,
Georgia,GA,4/30/2022,147,4/30/2022,0,,
Georgia,GA,5/7/2022,163,5/7/2022,0,,
Georgia,GA,5/14/2022,117,5/14/2022,0,,
Georgia,GA,5/21/2022,73,5/21/2022,0,,
Georgia,GA,5/28/2022,41,5/28/2022,0,,
Georgia,GA,6/4/2022,44,6/4/2022,0,,
Georgia,GA,6/11/2022,56,6/11/2022,0,,
Georgia,GA,6/18/2022,70,6/18/2022,0,,
Georgia,GA,6/25/2022,87,6/25/2022,0,,
Georgia,GA,7/2/2022,132,7/2/2022,0,,
Georgia,GA,7/9/2022,106,7/9/2022,0,,
Georgia,GA,7/16/2022,136,7/16/2022,0,,
Georgia,GA,7/23/2022,112,7/23/2022,0,,
Georgia,GA,7/30/2022,117,7/30/2022,0,,
Georgia,GA,8/6/2022,123,8/6/2022,0,,
Georgia,GA,8/13/2022,146,8/13/2022,0,,
Georgia,GA,8/20/2022,153,8/20/2022,0,,
Georgia,GA,8/27/2022,160,8/27/2022,0,,
Georgia,GA,9/3/2022,140,9/3/2022,0,,
Georgia,GA,9/10/2022,103,9/10/2022,0,,
Georgia,GA,9/17/2022,150,9/17/2022,0,,
Georgia,GA,9/24/2022,146,9/24/2022,0,,
Georgia,GA,10/1/2022,110,10/1/2022,0,,
Georgia,GA,10/8/2022,93,10/8/2022,0,,
Georgia,GA,10/15/2022,74,10/15/2022,0,,
Georgia,GA,10/22/2022,104,10/22/2022,0,,
Georgia,GA,10/29/2022,74,10/29/2022,0,,
Georgia,GA,11/5/2022,70,11/5/2022,0,,
Georgia,GA,11/12/2022,107,11/12/2022,0,,
Georgia,GA,11/19/2022,112,11/19/2022,0,,
Georgia,GA,11/26/2022,109,11/26/2022,0,,
Georgia,GA,12/3/2022,46,12/3/2022,0,,
Georgia,GA,12/10/2022,102,12/10/2022,0,,
Georgia,GA,12/17/2022,72,12/17/2022,0,,
Georgia,GA,12/24/2022,117,12/24/2022,0,,
Georgia,GA,12/31/2022,56,12/31/2022,0,,
Georgia,GA,1/7/2023,103,1/7/2023,0,,
Georgia,GA,1/14/2023,128,1/14/2023,0,,
Georgia,GA,1/21/2023,124,1/21/2023,0,,
Georgia,GA,1/28/2023,143,1/28/2023,0,,
Georgia,GA,2/4/2023,139,2/4/2023,0,,
Georgia,GA,2/11/2023,107,2/11/2023,0,,
Georgia,GA,2/18/2023,84,2/18/2023,0,,
Georgia,GA,2/25/2023,87,2/25/2023,0,,
Georgia,GA,3/4/2023,95,3/4/2023,0,,
Georgia,GA,3/11/2023,62,3/11/2023,0,,
Hawaii,HI,1/25/2020,0,1/25/2020,0,,
Hawaii,HI,2/1/2020,0,2/1/2020,0,,
Hawaii,HI,2/8/2020,0,2/8/2020,0,,
Hawaii,HI,2/15/2020,0,2/15/2020,0,,
Hawaii,HI,2/22/2020,0,2/22/2020,0,,
Hawaii,HI,2/29/2020,0,2/29/2020,0,,
Hawaii,HI,3/7/2020,0,3/7/2020,0,,
Hawaii,HI,3/14/2020,0,3/14/2020,0,,
Hawaii,HI,3/21/2020,0,3/21/2020,0,,
Hawaii,HI,3/28/2020,2,3/28/2020,0,,
Hawaii,HI,4/4/2020,3,4/4/2020,0,,
Hawaii,HI,4/11/2020,5,4/11/2020,0,,
Hawaii,HI,4/18/2020,1,4/18/2020,0,,
Hawaii,HI,4/25/2020,4,4/25/2020,0,,
Hawaii,HI,5/2/2020,3,5/2/2020,0,,
Hawaii,HI,5/9/2020,1,5/9/2020,0,,
Hawaii,HI,5/16/2020,0,5/16/2020,0,,
Hawaii,HI,5/23/2020,0,5/23/2020,0,,
Hawaii,HI,5/30/2020,0,5/30/2020,0,,
Hawaii,HI,6/6/2020,0,6/6/2020,0,,
Hawaii,HI,6/13/2020,0,6/13/2020,0,,
Hawaii,HI,6/20/2020,0,6/20/2020,0,,
Hawaii,HI,6/27/2020,1,6/27/2020,0,,
Hawaii,HI,7/4/2020,1,7/4/2020,0,,
Hawaii,HI,7/11/2020,0,7/11/2020,0,,
Hawaii,HI,7/18/2020,5,7/18/2020,0,,
Hawaii,HI,7/25/2020,2,7/25/2020,0,,
Hawaii,HI,8/1/2020,0,8/1/2020,0,,
Hawaii,HI,8/8/2020,5,8/8/2020,0,,
Hawaii,HI,8/15/2020,9,8/15/2020,0,,
Hawaii,HI,8/22/2020,7,8/22/2020,0,,
Hawaii,HI,8/29/2020,15,8/29/2020,0,,
Hawaii,HI,9/5/2020,22,9/5/2020,0,,
Hawaii,HI,9/12/2020,13,9/12/2020,0,,
Hawaii,HI,9/19/2020,23,9/19/2020,0,,
Hawaii,HI,9/26/2020,11,9/26/2020,0,,
Hawaii,HI,10/3/2020,22,10/3/2020,0,,
Hawaii,HI,10/10/2020,15,10/10/2020,0,,
Hawaii,HI,10/17/2020,18,10/17/2020,0,,
Hawaii,HI,10/24/2020,26,10/24/2020,0,,
Hawaii,HI,10/31/2020,11,10/31/2020,0,,
Hawaii,HI,11/7/2020,1,11/7/2020,0,,
Hawaii,HI,11/14/2020,2,11/14/2020,0,,
Hawaii,HI,11/21/2020,9,11/21/2020,0,,
Hawaii,HI,11/28/2020,9,11/28/2020,0,,
Hawaii,HI,12/5/2020,21,12/5/2020,0,,
Hawaii,HI,12/12/2020,10,12/12/2020,0,,
Hawaii,HI,12/19/2020,10,12/19/2020,0,,
Hawaii,HI,12/26/2020,4,12/26/2020,0,,
Hawaii,HI,1/2/2021,4,1/2/2021,0,,
Hawaii,HI,1/9/2021,19,1/9/2021,0,,
Hawaii,HI,1/16/2021,12,1/16/2021,0,,
Hawaii,HI,1/23/2021,16,1/23/2021,0,,
Hawaii,HI,1/30/2021,71,1/30/2021,1,60,
Hawaii,HI,2/6/2021,9,2/6/2021,0,,
Hawaii,HI,2/13/2021,9,2/13/2021,0,,
Hawaii,HI,2/20/2021,5,2/20/2021,0,,
Hawaii,HI,2/27/2021,9,2/27/2021,0,,
Hawaii,HI,3/6/2021,5,3/6/2021,0,,
Hawaii,HI,3/13/2021,6,3/13/2021,0,,
Hawaii,HI,3/20/2021,3,3/20/2021,0,,
Hawaii,HI,3/27/2021,9,3/27/2021,0,,
Hawaii,HI,4/3/2021,5,4/3/2021,0,,
Hawaii,HI,4/10/2021,4,4/10/2021,0,,
Hawaii,HI,4/17/2021,3,4/17/2021,0,,
Hawaii,HI,4/24/2021,4,4/24/2021,0,,
Hawaii,HI,5/1/2021,5,5/1/2021,0,,
Hawaii,HI,5/8/2021,4,5/8/2021,0,,
Hawaii,HI,5/15/2021,4,5/15/2021,0,,
Hawaii,HI,5/22/2021,3,5/22/2021,0,,
Hawaii,HI,5/29/2021,5,5/29/2021,0,,
Hawaii,HI,6/5/2021,3,6/5/2021,0,,
Hawaii,HI,6/12/2021,4,6/12/2021,0,,
Hawaii,HI,6/19/2021,5,6/19/2021,0,,
Hawaii,HI,6/26/2021,5,6/26/2021,0,,
Hawaii,HI,7/3/2021,2,7/3/2021,0,,
Hawaii,HI,7/10/2021,3,7/10/2021,0,,
Hawaii,HI,7/17/2021,2,7/17/2021,0,,
Hawaii,HI,7/24/2021,4,7/24/2021,0,,
Hawaii,HI,7/31/2021,10,7/31/2021,0,,
Hawaii,HI,8/7/2021,5,8/7/2021,0,,
Hawaii,HI,8/14/2021,6,8/14/2021,0,,
Hawaii,HI,8/21/2021,15,8/21/2021,0,,
Hawaii,HI,8/28/2021,24,8/28/2021,0,,
Hawaii,HI,9/4/2021,27,9/4/2021,0,,
Hawaii,HI,9/11/2021,39,9/11/2021,0,,
Hawaii,HI,9/18/2021,49,9/18/2021,0,,
Hawaii,HI,9/25/2021,45,9/25/2021,0,,
Hawaii,HI,10/2/2021,54,10/2/2021,0,,
Hawaii,HI,10/9/2021,36,10/9/2021,0,,
Hawaii,HI,10/16/2021,29,10/16/2021,0,,
Hawaii,HI,10/23/2021,19,10/23/2021,0,,
Hawaii,HI,10/30/2021,21,10/30/2021,0,,
Hawaii,HI,11/6/2021,44,11/6/2021,0,,
Hawaii,HI,11/13/2021,26,11/13/2021,0,,
Hawaii,HI,11/20/2021,26,11/20/2021,0,,
Hawaii,HI,11/27/2021,13,11/27/2021,0,,
Hawaii,HI,12/4/2021,17,12/4/2021,0,,
Hawaii,HI,12/11/2021,21,12/11/2021,0,,
Hawaii,HI,12/18/2021,17,12/18/2021,0,,
Hawaii,HI,12/25/2021,12,12/25/2021,0,,
Hawaii,HI,1/1/2022,12,1/1/2022,0,,
Hawaii,HI,1/8/2022,8,1/8/2022,0,,
Hawaii,HI,1/15/2022,21,1/15/2022,0,,
Hawaii,HI,1/22/2022,19,1/22/2022,0,,
Hawaii,HI,1/29/2022,31,1/29/2022,0,,
Hawaii,HI,2/5/2022,49,2/5/2022,0,,
Hawaii,HI,2/12/2022,36,2/12/2022,0,,
Hawaii,HI,2/19/2022,42,2/19/2022,0,,
Hawaii,HI,2/26/2022,30,2/26/2022,0,,
Hawaii,HI,3/5/2022,23,3/5/2022,0,,
Hawaii,HI,3/12/2022,1,3/12/2022,0,,
Hawaii,HI,3/19/2022,14,3/19/2022,0,,
Hawaii,HI,3/26/2022,5,3/26/2022,0,,
Hawaii,HI,4/2/2022,6,4/2/2022,0,,
Hawaii,HI,4/9/2022,3,4/9/2022,0,,
Hawaii,HI,4/16/2022,8,4/16/2022,0,,
Hawaii,HI,4/23/2022,17,4/23/2022,0,,
Hawaii,HI,4/30/2022,11,4/30/2022,0,,
Hawaii,HI,5/7/2022,10,5/7/2022,0,,
Hawaii,HI,5/14/2022,6,5/14/2022,0,,
Hawaii,HI,5/21/2022,12,5/21/2022,0,,
Hawaii,HI,5/28/2022,5,5/28/2022,0,,
Hawaii,HI,6/4/2022,6,6/4/2022,0,,
Hawaii,HI,6/11/2022,8,6/11/2022,0,,
Hawaii,HI,6/18/2022,9,6/18/2022,0,,
Hawaii,HI,6/25/2022,15,6/25/2022,0,,
Hawaii,HI,7/2/2022,15,7/2/2022,0,,
Hawaii,HI,7/9/2022,20,7/9/2022,0,,
Hawaii,HI,7/16/2022,11,7/16/2022,0,,
Hawaii,HI,7/23/2022,13,7/23/2022,0,,
Hawaii,HI,7/30/2022,23,7/30/2022,0,,
Hawaii,HI,8/6/2022,21,8/6/2022,0,,
Hawaii,HI,8/13/2022,14,8/13/2022,0,,
Hawaii,HI,8/20/2022,13,8/20/2022,0,,
Hawaii,HI,8/27/2022,13,8/27/2022,0,,
Hawaii,HI,9/3/2022,12,9/3/2022,0,,
Hawaii,HI,9/10/2022,11,9/10/2022,0,,
Hawaii,HI,9/17/2022,10,9/17/2022,0,,
Hawaii,HI,9/24/2022,14,9/24/2022,0,,
Hawaii,HI,10/1/2022,7,10/1/2022,0,,
Hawaii,HI,10/8/2022,8,10/8/2022,0,,
Hawaii,HI,10/15/2022,5,10/15/2022,0,,
Hawaii,HI,10/22/2022,3,10/22/2022,0,,
Hawaii,HI,10/29/2022,2,10/29/2022,0,,
Hawaii,HI,11/5/2022,7,11/5/2022,0,,
Hawaii,HI,11/12/2022,5,11/12/2022,0,,
Hawaii,HI,11/19/2022,6,11/19/2022,0,,
Hawaii,HI,11/26/2022,10,11/26/2022,0,,
Hawaii,HI,12/3/2022,5,12/3/2022,0,,
Hawaii,HI,12/10/2022,7,12/10/2022,0,,
Hawaii,HI,12/17/2022,4,12/17/2022,0,,
Hawaii,HI,12/24/2022,10,12/24/2022,0,,
Hawaii,HI,12/31/2022,3,12/31/2022,0,,
Hawaii,HI,1/7/2023,4,1/7/2023,0,,
Hawaii,HI,1/14/2023,5,1/14/2023,0,,
Hawaii,HI,1/21/2023,5,1/21/2023,0,,
Hawaii,HI,1/28/2023,11,1/28/2023,0,,
Hawaii,HI,2/4/2023,11,2/4/2023,0,,
Hawaii,HI,2/11/2023,8,2/11/2023,0,,
Hawaii,HI,2/18/2023,17,2/18/2023,0,,
Hawaii,HI,2/25/2023,0,2/25/2023,0,,
Hawaii,HI,3/4/2023,12,3/4/2023,0,,
Hawaii,HI,3/11/2023,7,3/11/2023,0,,
Idaho,ID,1/25/2020,0,1/25/2020,0,,
Idaho,ID,2/1/2020,0,2/1/2020,0,,
Idaho,ID,2/8/2020,0,2/8/2020,0,,
Idaho,ID,2/15/2020,0,2/15/2020,0,,
Idaho,ID,2/22/2020,0,2/22/2020,0,,
Idaho,ID,2/29/2020,0,2/29/2020,0,,
Idaho,ID,3/7/2020,0,3/7/2020,0,,
Idaho,ID,3/14/2020,0,3/14/2020,0,,
Idaho,ID,3/21/2020,0,3/21/2020,0,,
Idaho,ID,3/28/2020,4,3/28/2020,0,,
Idaho,ID,4/4/2020,6,4/4/2020,0,,
Idaho,ID,4/11/2020,15,4/11/2020,0,,
Idaho,ID,4/18/2020,18,4/18/2020,0,,
Idaho,ID,4/25/2020,13,4/25/2020,0,,
Idaho,ID,5/2/2020,8,5/2/2020,0,,
Idaho,ID,5/9/2020,3,5/9/2020,0,,
Idaho,ID,5/16/2020,8,5/16/2020,0,,
Idaho,ID,5/23/2020,6,5/23/2020,0,,
Idaho,ID,5/30/2020,3,5/30/2020,0,,
Idaho,ID,6/6/2020,1,6/6/2020,0,,
Idaho,ID,6/13/2020,4,6/13/2020,0,,
Idaho,ID,6/20/2020,2,6/20/2020,0,,
Idaho,ID,6/27/2020,2,6/27/2020,0,,
Idaho,ID,7/4/2020,2,7/4/2020,0,,
Idaho,ID,7/11/2020,9,7/11/2020,0,,
Idaho,ID,7/18/2020,17,7/18/2020,0,,
Idaho,ID,7/25/2020,27,7/25/2020,0,,
Idaho,ID,8/1/2020,51,8/1/2020,0,,
Idaho,ID,8/8/2020,38,8/8/2020,0,,
Idaho,ID,8/15/2020,34,8/15/2020,0,,
Idaho,ID,8/22/2020,37,8/22/2020,0,,
Idaho,ID,8/29/2020,52,8/29/2020,0,,
Idaho,ID,9/5/2020,26,9/5/2020,0,,
Idaho,ID,9/12/2020,31,9/12/2020,0,,
Idaho,ID,9/19/2020,26,9/19/2020,0,,
Idaho,ID,9/26/2020,19,9/26/2020,0,,
Idaho,ID,10/3/2020,20,10/3/2020,0,,
Idaho,ID,10/10/2020,27,10/10/2020,0,,
Idaho,ID,10/17/2020,22,10/17/2020,0,,
Idaho,ID,10/24/2020,45,10/24/2020,0,,
Idaho,ID,10/31/2020,57,10/31/2020,0,,
Idaho,ID,11/7/2020,54,11/7/2020,0,,
Idaho,ID,11/14/2020,76,11/14/2020,0,,
Idaho,ID,11/21/2020,88,11/21/2020,0,,
Idaho,ID,11/28/2020,66,11/28/2020,0,,
Idaho,ID,12/5/2020,119,12/5/2020,0,,
Idaho,ID,12/12/2020,137,12/12/2020,0,,
Idaho,ID,12/19/2020,106,12/19/2020,0,,
Idaho,ID,12/26/2020,79,12/26/2020,0,,
Idaho,ID,1/2/2021,94,1/2/2021,0,,
Idaho,ID,1/9/2021,80,1/9/2021,0,,
Idaho,ID,1/16/2021,77,1/16/2021,0,,
Idaho,ID,1/23/2021,67,1/23/2021,0,,
Idaho,ID,1/30/2021,57,1/30/2021,0,,
Idaho,ID,2/6/2021,44,2/6/2021,0,,
Idaho,ID,2/13/2021,36,2/13/2021,0,,
Idaho,ID,2/20/2021,23,2/20/2021,0,,
Idaho,ID,2/27/2021,34,2/27/2021,0,,
Idaho,ID,3/6/2021,19,3/6/2021,0,,
Idaho,ID,3/13/2021,31,3/13/2021,0,,
Idaho,ID,3/20/2021,31,3/20/2021,0,,
Idaho,ID,3/27/2021,13,3/27/2021,0,,
Idaho,ID,4/3/2021,12,4/3/2021,0,,
Idaho,ID,4/10/2021,27,4/10/2021,0,,
Idaho,ID,4/17/2021,24,4/17/2021,0,,
Idaho,ID,4/24/2021,14,4/24/2021,0,,
Idaho,ID,5/1/2021,15,5/1/2021,0,,
Idaho,ID,5/8/2021,15,5/8/2021,0,,
Idaho,ID,5/15/2021,14,5/15/2021,0,,
Idaho,ID,5/22/2021,11,5/22/2021,0,,
Idaho,ID,5/29/2021,10,5/29/2021,0,,
Idaho,ID,6/5/2021,11,6/5/2021,0,,
Idaho,ID,6/12/2021,17,6/12/2021,0,,
Idaho,ID,6/19/2021,6,6/19/2021,0,,
Idaho,ID,6/26/2021,23,6/26/2021,0,,
Idaho,ID,7/3/2021,13,7/3/2021,0,,
Idaho,ID,7/10/2021,7,7/10/2021,0,,
Idaho,ID,7/17/2021,8,7/17/2021,0,,
Idaho,ID,7/24/2021,10,7/24/2021,0,,
Idaho,ID,7/31/2021,14,7/31/2021,0,,
Idaho,ID,8/7/2021,20,8/7/2021,0,,
Idaho,ID,8/14/2021,28,8/14/2021,0,,
Idaho,ID,8/21/2021,38,8/21/2021,0,,
Idaho,ID,8/28/2021,44,8/28/2021,0,,
Idaho,ID,9/4/2021,52,9/4/2021,0,,
Idaho,ID,9/11/2021,93,9/11/2021,0,,
Idaho,ID,9/18/2021,164,9/18/2021,0,,
Idaho,ID,9/25/2021,117,9/25/2021,0,,
Idaho,ID,10/2/2021,211,10/2/2021,0,,
Idaho,ID,10/9/2021,160,10/9/2021,0,,
Idaho,ID,10/16/2021,134,10/16/2021,0,,
Idaho,ID,10/23/2021,157,10/23/2021,0,,
Idaho,ID,10/30/2021,125,10/30/2021,0,,
Idaho,ID,11/6/2021,108,11/6/2021,0,,
Idaho,ID,11/13/2021,99,11/13/2021,0,,
Idaho,ID,11/20/2021,101,11/20/2021,0,,
Idaho,ID,11/27/2021,53,11/27/2021,0,,
Idaho,ID,12/4/2021,71,12/4/2021,0,,
Idaho,ID,12/11/2021,59,12/11/2021,0,,
Idaho,ID,12/18/2021,39,12/18/2021,0,,
Idaho,ID,12/25/2021,31,12/25/2021,0,,
Idaho,ID,1/1/2022,63,1/1/2022,0,,
Idaho,ID,1/8/2022,75,1/8/2022,0,,
Idaho,ID,1/15/2022,37,1/15/2022,0,,
Idaho,ID,1/22/2022,50,1/22/2022,0,,
Idaho,ID,1/29/2022,83,1/29/2022,0,,
Idaho,ID,2/5/2022,74,2/5/2022,0,,
Idaho,ID,2/12/2022,75,2/12/2022,0,,
Idaho,ID,2/19/2022,124,2/19/2022,0,,
Idaho,ID,2/26/2022,54,2/26/2022,0,,
Idaho,ID,3/5/2022,58,3/5/2022,0,,
Idaho,ID,3/12/2022,31,3/12/2022,0,,
Idaho,ID,3/19/2022,15,3/19/2022,0,,
Idaho,ID,3/26/2022,35,3/26/2022,0,,
Idaho,ID,4/2/2022,9,4/2/2022,0,,
Idaho,ID,4/9/2022,19,4/9/2022,0,,
Idaho,ID,4/16/2022,18,4/16/2022,0,,
Idaho,ID,4/23/2022,9,4/23/2022,0,,
Idaho,ID,4/30/2022,5,4/30/2022,0,,
Idaho,ID,5/7/2022,1,5/7/2022,0,,
Idaho,ID,5/14/2022,5,5/14/2022,0,,
Idaho,ID,5/21/2022,3,5/21/2022,0,,
Idaho,ID,5/28/2022,4,5/28/2022,0,,
Idaho,ID,6/4/2022,2,6/4/2022,0,,
Idaho,ID,6/11/2022,9,6/11/2022,0,,
Idaho,ID,6/18/2022,3,6/18/2022,0,,
Idaho,ID,6/25/2022,12,6/25/2022,0,,
Idaho,ID,7/2/2022,15,7/2/2022,0,,
Idaho,ID,7/9/2022,12,7/9/2022,0,,
Idaho,ID,7/16/2022,8,7/16/2022,0,,
Idaho,ID,7/23/2022,16,7/23/2022,0,,
Idaho,ID,7/30/2022,18,7/30/2022,0,,
Idaho,ID,8/6/2022,18,8/6/2022,0,,
Idaho,ID,8/13/2022,7,8/13/2022,0,,
Idaho,ID,8/20/2022,30,8/20/2022,0,,
Idaho,ID,8/27/2022,17,8/27/2022,0,,
Idaho,ID,9/3/2022,49,9/3/2022,0,,
Idaho,ID,9/10/2022,13,9/10/2022,0,,
Idaho,ID,9/17/2022,25,9/17/2022,0,,
Idaho,ID,9/24/2022,10,9/24/2022,0,,
Idaho,ID,10/1/2022,10,10/1/2022,0,,
Idaho,ID,10/8/2022,11,10/8/2022,0,,
Idaho,ID,10/15/2022,11,10/15/2022,0,,
Idaho,ID,10/22/2022,5,10/22/2022,0,,
Idaho,ID,10/29/2022,13,10/29/2022,0,,
